,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
11,Arizona State,35,22,13,0.629,8.86,4.6,,9,9,,16,4,,4,7,,2512,2363,,67.5,104.5,0.359,0.368,0.546,48.3,55.1,9.2,14.8,0.523,16.2,28.3,0.233
12,Arizona NCAA,35,27,8,0.771,17.3,7.47,,12,6,,14,2,,7,4,,2570,2226,,66.8,109.5,0.374,0.375,0.565,52.7,54.1,10,10.2,0.525,16.8,35,0.28
13,Little Rock,32,17,15,0.531,-4.36,-2.23,,11,9,,13,3,,3,10,,2127,2132,,69.2,96.1,0.427,0.277,0.509,46.6,50.8,9.7,10.9,0.468,18.9,32,0.289
14,Arkansas-Pine Bluff,30,16,14,0.533,-12.13,-8.2,,15,3,,9,0,,6,12,,1880,1998,,68.7,90.8,0.33,0.308,0.476,45.3,55.9,14.3,10,0.447,18,31.5,0.208
15,Arkansas State,31,19,12,0.613,0.77,-4.36,,12,8,,13,2,,5,9,,2127,1944,,66.3,100.7,0.439,0.364,0.507,48.7,46,12.1,8.3,0.463,16.3,33.9,0.299
16,Arkansas,32,19,13,0.594,9.82,4.97,,10,8,,17,1,,1,9,,2358,2203,,70.6,103.6,0.351,0.326,0.516,45.9,55.8,13,13.7,0.484,14,31.7,0.236
17,Army,31,16,15,0.516,-1.48,-4.52,,8,6,,9,4,,6,10,,2245,2112,,67.8,105.6,0.364,0.392,0.555,49.4,57.6,7.5,8.7,0.518,17.8,31.7,0.268
18,Auburn,32,9,23,0.281,0.21,4.18,,3,15,,7,10,,1,9,,2074,2201,,66.6,95.5,0.353,0.331,0.5,46.5,54.5,10.2,11.8,0.46,17.1,29.2,0.247
19,Austin Peay,31,8,23,0.258,-12.35,-4.31,,4,12,,5,8,,2,12,,2218,2371,,69.7,100.6,0.369,0.344,0.55,46.2,58.1,8.8,12.2,0.523,19.9,30,0.249
20,Ball State,30,15,15,0.5,-6.7,-3.15,,8,8,,8,8,,7,6,,1957,2041,,65.8,99.2,0.466,0.351,0.52,51,54.1,9.8,6.8,0.483,19.5,35.9,0.304
21,Baylor,37,23,14,0.622,15.07,7.13,,9,9,,15,5,,4,7,,2811,2456,,68.5,110.3,0.365,0.334,0.55,49.7,58.5,9.5,10.8,0.519,14.7,34.3,0.253
22,Belmont NCAA,33,26,7,0.788,10.37,-0.96,,14,2,,13,0,,9,4,,2533,2129,,68.1,112.3,0.328,0.395,0.594,46.8,57,14.3,8,0.567,17.1,29.9,0.24
23,Bethune-Cookman,34,14,20,0.412,-9.54,-6.44,,7,9,,9,4,,2,14,,2283,2318,,67.2,99.1,0.379,0.317,0.494,46.6,53.9,10.7,10.3,0.465,15.4,32.6,0.237
24,Binghamton,30,3,27,0.1,-18.52,-3.7,,1,15,,2,12,,1,14,,1676,2081,,66.2,84.4,0.337,0.346,0.457,45.4,42,8.7,7.3,0.422,20.1,27.4,0.218
25,Boise State NCAA,32,21,11,0.656,9.44,5.27,,9,7,,14,1,,5,8,,2343,2095,,66.3,109.9,0.334,0.356,0.565,51.1,51.3,9.9,5.4,0.53,15.7,31.5,0.249
26,Boston College,33,16,17,0.485,6.09,7.03,,7,11,,12,6,,3,7,,2215,2246,,64,104.4,0.397,0.389,0.548,47,53.9,8.7,6.9,0.51,15.7,28.1,0.283
27,Boston University,30,17,13,0.567,-0.6,-3.93,,11,5,,9,3,,7,9,,2035,1935,,65.5,102.8,0.265,0.393,0.549,45.1,55.2,11.3,4.8,0.522,16.8,25.9,0.192
28,Bowling Green State,32,13,19,0.406,-3.32,-1.75,,7,9,,11,5,,1,12,,2010,2033,,63.9,96.7,0.27,0.287,0.496,47.5,51.1,11.4,11.5,0.464,16.8,31.1,0.193
29,Bradley,35,18,17,0.514,1.25,1.97,,7,11,,14,4,,4,10,,2371,2396,,66.1,101.7,0.299,0.289,0.517,46.3,50.1,13.6,7.1,0.483,15.3,30.4,0.216
30,Brigham Young,36,24,12,0.667,10.66,3.75,,10,6,,15,3,,7,5,,2777,2502,,71.1,108.5,0.355,0.288,0.543,50.4,57.6,11.4,6.6,0.505,14.5,32.7,0.259
31,Brown,28,13,15,0.464,-6.33,-3.03,,7,7,,8,5,,5,10,,1748,1800,,63.7,95.9,0.344,0.399,0.504,49.9,57.2,10.2,10.5,0.478,18.6,31.2,0.217
32,Bryant,31,19,12,0.613,-2.08,-4.72,,12,6,,11,5,,8,7,,2294,2212,,67,110.1,0.37,0.36,0.576,48.4,57.9,7.6,3.2,0.544,16.7,30.6,0.268
33,Bucknell NCAA,34,28,6,0.824,6.95,-1.96,,12,2,,14,1,,12,4,,2277,1966,,62.6,107,0.361,0.242,0.538,52.3,55.6,5.5,10.8,0.496,13.2,29.3,0.268
34,Buffalo,34,14,20,0.412,-1.94,-0.35,,7,9,,9,6,,4,10,,2275,2287,,64.9,102.2,0.38,0.351,0.545,50.6,64.2,8.4,12,0.51,20.1,35.9,0.267
35,Butler NCAA,36,27,9,0.75,10.99,6.08,,11,5,,14,2,,7,4,,2495,2299,,64.9,106.4,0.385,0.356,0.546,53.4,53.5,8.8,7,0.512,17.2,36.3,0.268
36,Cal Poly,32,18,14,0.563,-0.46,-0.62,,12,6,,13,1,,4,12,,2074,2020,,60,107.1,0.333,0.357,0.528,48.2,61.3,9.5,5.4,0.491,13.3,31.9,0.241
37,Cal State Bakersfield,30,14,16,0.467,-6.44,-2.17,,0,0,,9,4,,3,11,,2041,2070,,67.7,98.9,0.355,0.348,0.515,47.2,53.5,10.7,5.6,0.477,17.6,31.6,0.249
38,Cal State Fullerton,32,14,18,0.438,-2.97,-3.03,,6,12,,6,7,,6,10,,2451,2381,,70.2,109.1,0.345,0.387,0.579,42.6,55.2,11,4.2,0.543,15.9,25.9,0.261
39,Cal State Northridge,31,14,17,0.452,-3.89,-1.93,,5,13,,6,7,,5,10,,2333,2309,,71.5,105.2,0.389,0.259,0.525,50,57.9,11.8,8.2,0.479,16,36.6,0.285
40,UC-Davis,31,14,17,0.452,-3.5,-2.57,,9,9,,6,7,,6,9,,2210,2239,,67.3,105.5,0.329,0.385,0.579,47.6,58.6,6.9,7.3,0.551,18.5,26.4,0.237
41,UC-Irvine,37,21,16,0.568,0.17,-0.66,,11,7,,13,1,,5,13,,2558,2418,,67,102.1,0.311,0.347,0.518,48.9,62.2,7.2,10.5,0.491,15.7,31,0.207
42,UC-Riverside,31,6,25,0.194,-11.49,-1.71,,3,15,,5,9,,1,14,,1829,2062,,64.5,91.1,0.319,0.306,0.481,49.6,55.5,9.6,9,0.461,19.2,32.7,0.186
43,UC-Santa Barbara,31,11,20,0.355,-4.22,0.4,,7,11,,8,6,,3,13,,2003,2090,,64.2,99.4,0.302,0.426,0.523,48.5,65,8.2,12.7,0.493,18.9,32.2,0.209
44,University of California NCAA,33,21,12,0.636,10.65,7.77,,12,6,,11,5,,6,5,,2218,2123,,66.5,100.7,0.312,0.236,0.515,50,56.2,8.7,11.4,0.48,16.2,32.5,0.223
45,Campbell,33,13,20,0.394,-10.25,-5.55,,7,9,,8,8,,4,9,,2284,2395,,67.7,100,0.322,0.229,0.516,45.9,53.9,10.9,8.6,0.48,17.1,32.9,0.229
46,Canisius,34,20,14,0.588,2.37,-0.99,,11,7,,12,4,,8,9,,2499,2385,,66.8,109.2,0.343,0.422,0.559,48.6,50.4,8.7,9.1,0.527,16.8,34.8,0.245
47,Central Arkansas,30,13,17,0.433,-10.87,-6.12,,7,11,,8,7,,5,8,,2294,2359,,73.2,102,0.296,0.309,0.511,45.9,49.4,10.5,8.9,0.49,16.1,33.8,0.187
48,Central Connecticut State,30,13,17,0.433,-8.24,-4.04,,9,9,,6,6,,7,10,,2186,2312,,70.7,101.4,0.301,0.329,0.522,42.6,48.2,10.4,10.7,0.486,15.3,27.4,0.221
49,Central Florida,31,20,11,0.645,3.44,0.96,,9,7,,14,5,,5,6,,2194,2079,,66.5,105.5,0.401,0.363,0.544,48.8,56.1,11.2,11.4,0.518,17.5,35,0.258
50,Central Michigan,31,11,20,0.355,-6.14,-1.21,,4,12,,6,6,,2,13,,2092,2226,,65.5,102.2,0.396,0.453,0.529,44.7,59.4,10.2,6,0.484,16.9,30.6,0.29
51,Charleston Southern,32,19,13,0.594,-2.07,-5.62,,12,4,,11,3,,6,9,,2361,2144,,68.1,107.5,0.312,0.426,0.531,49.9,48.3,10.7,7.4,0.499,15,35,0.221
52,Charlotte,33,21,12,0.636,2.69,2.75,,8,8,,12,3,,5,7,,2229,2231,,68.2,98.3,0.448,0.236,0.509,50.6,48.8,10.8,8.8,0.471,18.8,36.5,0.293
53,Chattanooga,32,13,19,0.406,-10.47,-4.97,,8,10,,8,9,,4,9,,2218,2318,,68.8,99.9,0.435,0.308,0.504,50.6,50,9.9,6.4,0.464,17,35.3,0.289
54,Chicago State,33,11,22,0.333,-11.77,-4.91,,3,5,,8,5,,2,16,,2151,2276,,68.2,93.8,0.256,0.355,0.492,45.1,52.2,13.6,8.3,0.459,18.1,30.2,0.186
55,Cincinnati NCAA,34,22,12,0.647,14.46,6.93,,9,9,,13,5,,4,5,,2262,2006,,64.9,101.4,0.355,0.371,0.493,51.7,52.5,10.8,16.1,0.462,15.8,38.7,0.229
56,Citadel,30,8,22,0.267,-16.99,-5.45,,5,13,,5,8,,3,12,,1931,2195,,65,98.7,0.372,0.324,0.546,45.3,66.4,10.8,6.4,0.511,20.8,31.3,0.261
57,Clemson,31,13,18,0.419,5.82,4.44,,5,13,,8,7,,3,9,,1907,1864,,62.2,98.9,0.331,0.302,0.501,47.9,47.9,10.8,13.2,0.472,15.7,32,0.217
58,Cleveland State,32,14,18,0.438,-7.34,-0.16,,5,11,,9,5,,3,13,,2051,2226,,65.4,97.6,0.309,0.347,0.516,45.9,53.1,11.1,8.8,0.482,18.5,31.8,0.219
59,Coastal Carolina,29,14,15,0.483,-5.61,-5.22,,9,7,,12,4,,2,11,,1943,1840,,65.6,101.6,0.361,0.258,0.51,51.5,43.1,13.1,7,0.479,17.7,39.3,0.237
60,Colgate,32,11,21,0.344,-8.73,-2.58,,5,9,,7,5,,3,16,,2033,2230,,66.4,95.4,0.276,0.366,0.511,47.8,56.1,6.9,7.5,0.48,17.5,26.2,0.195
61,College of Charleston,35,24,11,0.686,0.17,-3.86,,14,4,,10,7,,11,2,,2297,2176,,63.8,102.9,0.386,0.331,0.533,51.8,48.8,6.7,10.6,0.499,17.8,33.9,0.265
62,Colorado State NCAA,35,26,9,0.743,13.65,5.89,,11,5,,16,1,,6,6,,2553,2229,,64.6,112.6,0.436,0.271,0.539,56.9,50.5,7.1,6.4,0.495,14.1,41.2,0.312
63,Colorado NCAA,33,21,12,0.636,11.95,7.95,,10,8,,12,3,,5,7,,2230,2098,,65.7,101.4,0.409,0.289,0.522,50.2,42.3,10.5,8.6,0.483,17.1,33.6,0.281
64,Columbia,28,12,16,0.429,-3.25,-3.48,,4,10,,6,7,,5,9,,1746,1694,,61.3,101.7,0.334,0.363,0.525,48.5,55.8,10,7.5,0.484,15.5,29.4,0.249
65,Connecticut,30,20,10,0.667,11.88,7.42,,10,8,,13,3,,4,5,,2096,1962,,64.9,103.8,0.369,0.341,0.542,44.4,56.4,11.1,11.2,0.5,16,28.5,0.274
66,Coppin State,32,8,24,0.25,-12.65,-4.2,,5,11,,4,7,,4,15,,2035,2277,,69.3,90.3,0.32,0.409,0.47,41.2,47.7,11.1,4.9,0.431,17.9,29.3,0.223
67,Cornell,31,13,18,0.419,-7.27,-2.37,,5,9,,4,10,,7,8,,2040,2168,,67.2,98,0.303,0.353,0.516,47,49.7,10.1,10.7,0.484,17.3,28.5,0.213
68,Creighton NCAA,36,28,8,0.778,16.44,5.16,,13,5,,15,2,,7,5,,2680,2274,,65,114.5,0.342,0.394,0.612,51.6,64.6,7.4,6.6,0.582,16.8,28.8,0.26
69,Dartmouth,28,9,19,0.321,-9.21,-3.17,,5,9,,6,7,,3,12,,1719,1844,,64.1,95.3,0.34,0.322,0.504,46.6,49.7,10.8,7.6,0.462,18.2,29.1,0.248
70,Davidson NCAA,34,26,8,0.765,7.27,-3.45,,17,1,,12,1,,9,4,,2490,2110,,64.8,112.7,0.388,0.383,0.58,49.3,56.5,8.6,7.6,0.532,14.7,29,0.309
71,Dayton,31,17,14,0.548,9.36,4.27,,7,9,,13,4,,2,8,,2225,2067,,66.4,107.3,0.397,0.286,0.565,50.8,55.1,8.3,7.2,0.53,18.6,35.2,0.284
72,Delaware State,33,15,18,0.455,-11.19,-5.9,,8,8,,8,3,,5,12,,1997,2094,,62.3,95.4,0.332,0.359,0.498,45.3,46,10.9,14.6,0.462,18.4,33,0.229
73,Delaware,33,19,14,0.576,-0.78,-0.81,,13,5,,9,4,,8,7,,2276,2275,,66.6,101.9,0.42,0.254,0.518,49.8,41.1,8,11,0.463,16,33.1,0.316
74,Denver,32,22,10,0.688,9.2,0.26,,16,2,,14,2,,8,7,,2076,1790,,59.7,108.2,0.312,0.436,0.587,42.2,69.8,15,13.3,0.562,16.8,22.7,0.225
75,DePaul,32,11,21,0.344,1.71,5.61,,2,16,,7,10,,4,8,,2284,2409,,71.4,98.8,0.317,0.266,0.509,44.3,51.9,11.5,9.5,0.474,16.9,31.7,0.223
76,Detroit Mercy,33,20,13,0.606,6.71,1.62,,12,4,,13,2,,7,10,,2568,2340,,70.1,111,0.357,0.344,0.551,47.3,53,11.8,9.4,0.515,13.4,32.1,0.26
77,Drake,32,15,17,0.469,3.43,5.14,,7,11,,9,6,,4,7,,2296,2319,,68.5,103.6,0.376,0.416,0.562,45.8,55.9,8.3,6.1,0.528,17.7,24.5,0.27
78,Drexel,31,13,18,0.419,-1.08,-0.98,,9,9,,5,8,,7,7,,1953,1956,,61.4,100.6,0.335,0.327,0.51,50.6,53.4,8.1,5.5,0.467,16.1,33.3,0.25
79,Duke NCAA,36,30,6,0.833,21.43,9.54,,14,4,,16,0,,5,4,,2778,2350,,68.2,113.1,0.392,0.333,0.576,47.3,53.6,9.4,9,0.539,13.7,28.8,0.289
80,Duquesne,30,8,22,0.267,-4.54,3.5,,1,15,,6,9,,2,12,,2028,2269,,69.4,96.7,0.317,0.413,0.505,45.9,53.6,7.4,9,0.479,17.9,30.9,0.204
81,East Carolina,35,23,12,0.657,2.56,0.81,,9,7,,17,4,,6,7,,2679,2484,,70,108.2,0.385,0.385,0.555,46.8,65.4,11.3,10,0.519,15.5,30.6,0.275
82,East Tennessee State,32,10,22,0.313,-13.15,-2.25,,8,10,,5,8,,5,10,,1994,2284,,66.1,93.8,0.316,0.364,0.495,43.3,45.6,9.6,7.1,0.464,17.4,27.7,0.211
83,Eastern Illinois,32,11,21,0.344,-8.93,-5.09,,6,10,,5,9,,4,11,,1933,2055,,60.7,99.1,0.342,0.346,0.526,47,60.8,10.6,7.3,0.497,18.3,30.4,0.227
84,Eastern Kentucky,35,25,10,0.714,1.66,-3.92,,12,4,,15,1,,9,8,,2586,2303,,65.6,111.8,0.338,0.455,0.585,43.1,58.8,13.4,6.7,0.547,15.8,28.5,0.264
85,Eastern Michigan,34,16,18,0.471,-6.25,-1.25,,7,9,,13,5,,2,12,,1926,2011,,61,92.5,0.304,0.286,0.48,46.4,51.9,12.9,17.4,0.448,19.1,35,0.204
86,Eastern Washington,31,10,21,0.323,-10.77,-5.48,,7,13,,7,7,,2,13,,2146,2310,,68.4,99.6,0.32,0.428,0.514,45.2,55.1,7.6,13,0.488,16.6,29.4,0.21
87,Elon,33,21,12,0.636,-3.58,-5.19,,13,5,,12,3,,8,8,,2273,2144,,66.7,102.1,0.288,0.398,0.531,46.6,54.9,9.8,8.9,0.501,15.2,26.5,0.205
88,Evansville,36,21,15,0.583,5.26,2.91,,10,8,,15,3,,5,11,,2490,2374,,65.7,104.2,0.317,0.275,0.526,47.2,63.8,8.9,8.4,0.488,14.6,30.2,0.235
89,Fairfield,35,19,16,0.543,-0.55,-2,,9,9,,7,5,,7,10,,2122,2071,,62,97,0.289,0.341,0.506,48.1,57.1,11.3,10.3,0.477,18.3,33.6,0.198
90,Fairleigh Dickinson,31,7,24,0.226,-18,-4.65,,2,16,,2,10,,3,14,,2034,2448,,69.1,94.1,0.352,0.324,0.52,41.2,55.8,8.3,7.9,0.489,19.9,26.2,0.236
91,Florida A&M,31,8,23,0.258,-16.14,-6.21,,5,11,,6,4,,1,17,,2015,2235,,70.2,91.2,0.328,0.303,0.471,43.2,46.4,11.6,8.3,0.442,18.5,32.1,0.206
92,Florida Atlantic,32,14,18,0.438,-5.88,-2.49,,9,11,,11,4,,3,13,,2092,2164,,66.3,97.2,0.356,0.312,0.516,48,44,7.8,12.4,0.478,19.4,32.9,0.25
93,Florida Gulf Coast NCAA,37,26,11,0.703,2.76,-2.07,,13,5,,15,1,,6,9,,2696,2469,,69.5,103.8,0.348,0.342,0.548,48.3,53.6,12.7,10.5,0.521,18.1,32.2,0.235
94,Florida International,32,18,14,0.563,-2.08,-2.11,,11,9,,10,3,,6,10,,2210,2209,,69.6,99.3,0.358,0.375,0.526,44.7,48.2,13.4,7.9,0.489,18.7,31.3,0.253
95,Florida State,34,18,16,0.529,5.67,7.23,,9,9,,10,8,,3,7,,2278,2331,,66.3,101,0.404,0.32,0.544,45.6,49.4,9.3,13.5,0.499,19.2,30.9,0.297
96,Florida NCAA,37,29,8,0.784,23.86,6.83,,14,4,,15,0,,7,5,,2642,2012,,62.9,113.5,0.31,0.395,0.573,51.4,56.3,11.4,9.4,0.552,14.8,33.4,0.21
97,Fordham,31,7,24,0.226,-6.9,4.59,,3,13,,4,7,,1,15,,1997,2353,,68.8,93.6,0.327,0.303,0.484,49.4,52.5,7.2,11.1,0.449,19.1,35.9,0.22
98,Fresno State,30,11,19,0.367,3.31,6.56,,5,11,,6,8,,5,10,,1798,1829,,62.1,95.7,0.379,0.334,0.487,44.5,45.1,11.5,10.1,0.448,15.8,30.1,0.253
99,Furman,31,7,24,0.226,-17.46,-5.29,,3,15,,5,9,,1,14,,1869,2180,,64.7,93.2,0.359,0.358,0.505,45.1,52.8,8.2,9.6,0.467,19.6,28.6,0.248
100,Gardner-Webb,34,21,13,0.618,-3.22,-5.93,,11,5,,12,3,,6,9,,2236,2066,,64.3,100.5,0.347,0.312,0.513,49.9,55.4,12,7.6,0.474,17.4,35.9,0.248
101,George Mason,38,22,16,0.579,2.01,-0.17,,10,8,,10,7,,8,6,,2587,2504,,65.8,102.4,0.353,0.278,0.525,48.2,51.3,11.1,8.1,0.485,17.3,35,0.256
102,George Washington,30,13,17,0.433,4.22,3.49,,7,9,,7,7,,5,9,,1988,1966,,68.1,96.9,0.404,0.181,0.502,51.4,55.1,11.4,12.4,0.466,19.5,38.2,0.265
103,Georgetown NCAA,32,25,7,0.781,15.84,7.59,,14,4,,16,1,,6,3,,2070,1806,,62.4,102,0.368,0.329,0.541,48.4,64.3,11.8,11.3,0.511,17.6,30.4,0.25
104,Georgia Southern,33,14,19,0.424,-9.67,-5.02,,7,11,,7,6,,5,11,,2050,2148,,63.1,97.4,0.357,0.315,0.509,46.3,44.1,10.8,6.4,0.473,17.8,31.2,0.246
105,Georgia State,31,15,16,0.484,-2.04,-2.4,,10,8,,9,7,,6,9,,2114,2075,,64.1,105.1,0.348,0.363,0.538,46.2,49,11.9,13.1,0.504,15.4,29.5,0.247
106,Georgia Tech,31,16,15,0.516,6.6,4.67,,6,12,,11,6,,3,7,,1993,1933,,66.3,96.7,0.28,0.304,0.491,50.1,52.5,8.8,11.2,0.468,16.4,32.6,0.178
107,Georgia,32,15,17,0.469,5.31,6.09,,9,9,,12,6,,3,8,,1946,1971,,62.4,95.9,0.45,0.338,0.515,49.8,58.3,8.9,12.5,0.469,19.8,32.1,0.312
108,Gonzaga NCAA,35,32,3,0.914,20.47,4.18,,16,0,,15,1,,10,1,,2696,2095,,65.3,118,0.402,0.315,0.585,53.3,55.2,12.1,8.2,0.555,14.6,37.8,0.283
109,Grambling,28,0,28,0,-35.85,-9.17,,0,18,,0,9,,0,18,,1391,2138,,65.6,75.7,0.249,0.319,0.433,39.5,55.9,6.7,5.7,0.411,23.4,28.4,0.146
110,Green Bay,34,18,16,0.529,1.67,-0.27,,10,6,,12,3,,4,12,,2247,2142,,64.1,102.3,0.398,0.275,0.533,51.3,58.6,9.2,14,0.485,17.8,32.5,0.299
111,Hampton,31,14,17,0.452,-9.35,-7.84,,11,5,,7,7,,7,8,,1936,1983,,68.9,89.2,0.386,0.296,0.473,49,51.9,10.6,12.6,0.431,20.5,34.1,0.257
112,Hartford,31,17,14,0.548,-5.84,-4.71,,10,6,,10,5,,7,8,,1863,1898,,64.2,93.6,0.307,0.446,0.515,43.8,59.2,12.7,5.9,0.483,19.6,26,0.214
113,Harvard NCAA,30,20,10,0.667,3.95,0.16,,11,3,,13,1,,6,8,,2049,1924,,63.8,105.6,0.489,0.337,0.583,46.3,57.9,11.2,11,0.542,18.5,26,0.354
114,Hawaii,32,17,15,0.531,-1.73,-2.37,,10,8,,12,7,,4,7,,2336,2305,,69.7,104.3,0.369,0.308,0.537,51.6,53.1,7.6,9.2,0.505,17.5,36,0.254
115,High Point,31,17,14,0.548,-4.66,-7.25,,12,4,,10,5,,6,8,,2221,2052,,67.4,105.5,0.331,0.24,0.521,49.7,55.3,10.8,11.7,0.485,15,35.4,0.237
116,Hofstra,32,7,25,0.219,-10.76,-1.92,,4,14,,6,9,,1,14,,1873,2132,,64.9,89.4,0.386,0.283,0.46,46.9,47.4,9.7,9.4,0.424,18.5,34.2,0.242
117,Holy Cross,30,12,18,0.4,-6.14,-2.97,,4,10,,7,5,,4,12,,1834,1929,,62.3,97.7,0.3,0.367,0.516,47.4,56.8,6.2,10,0.477,17.3,28.2,0.226
118,Houston Baptist,31,14,17,0.452,-15.17,-8.03,,3,5,,7,5,,3,12,,1982,2080,,69.6,90.4,0.365,0.256,0.491,47.7,49,9.8,6.8,0.455,20.9,33.3,0.242
119,Houston,33,20,13,0.606,-0.3,-3.77,,7,9,,14,4,,5,8,,2578,2420,,70.1,108.5,0.398,0.28,0.552,50.1,54.8,9.3,9.4,0.515,15.6,34.1,0.282
120,Howard,31,7,24,0.226,-14.42,-5.35,,4,12,,5,7,,2,13,,1615,1868,,62.1,83.9,0.356,0.26,0.441,47.2,48.1,10.2,10,0.397,20.1,35.1,0.236
121,Idaho State,30,6,24,0.2,-12.98,-4.85,,5,15,,5,7,,1,14,,1710,1928,,60.4,93.5,0.38,0.357,0.502,42.5,52.3,11.4,10.7,0.463,17.5,25.1,0.258
122,Idaho,30,12,18,0.4,-2.19,0.33,,7,11,,6,8,,6,8,,2050,2079,,63.3,107,0.376,0.341,0.568,51.5,55.1,6.4,7.7,0.529,18.3,33.1,0.279
123,Illinois-Chicago,34,18,16,0.529,-1.78,-0.69,,7,9,,12,4,,4,10,,2136,2134,,63.8,97.4,0.351,0.365,0.509,45.9,57.8,10.1,7.7,0.462,16.8,28.4,0.264
124,Illinois State,33,18,15,0.545,9.63,3.72,,8,10,,11,5,,5,8,,2460,2265,,69.3,106.8,0.344,0.364,0.552,47.4,56.3,10.4,11.9,0.518,16.2,29.5,0.249
125,Illinois NCAA,36,23,13,0.639,13.23,10.08,,8,10,,12,4,,6,6,,2465,2332,,65.5,104.2,0.31,0.419,0.516,46.6,42.5,10.4,11.5,0.479,14.7,33.1,0.225
126,Indiana State,33,18,15,0.545,5.08,5.64,,9,9,,11,3,,4,10,,2159,2164,,65.3,98.7,0.42,0.339,0.527,47,53.2,8.5,8.6,0.483,17.2,26.9,0.297
127,Indiana NCAA,36,29,7,0.806,24.9,8.38,,14,4,,17,2,,7,2,,2831,2236,,67.1,116.3,0.459,0.323,0.59,53.3,54,10.5,9.3,0.548,16.3,39,0.341
128,Iona NCAA,34,20,14,0.588,4.04,-0.02,,11,7,,11,1,,5,9,,2733,2595,,70.5,111.1,0.327,0.366,0.562,47.1,54.7,9,7.4,0.521,14.7,32.8,0.255
129,Iowa State NCAA,35,23,12,0.657,14.5,6.13,,11,7,,16,1,,4,7,,2779,2486,,70,111.7,0.33,0.438,0.569,51.2,58.2,9,7,0.538,15.9,34.2,0.241
130,Iowa,38,25,13,0.658,14.22,6.93,,9,9,,18,2,,3,8,,2665,2388,,66.6,104.2,0.416,0.31,0.516,51.1,63.5,10.3,12.6,0.466,15.6,36.4,0.304
131,Purdue-Fort Wayne,33,16,17,0.485,-7,-5.32,,7,9,,10,4,,4,10,,2213,2178,,65.7,100.6,0.385,0.35,0.528,50.2,53.2,11.4,7.5,0.501,17.7,31.3,0.247
132,IUPUI,32,6,26,0.188,-15.93,-2.79,,1,15,,3,8,,1,13,,2096,2451,,66.2,97.4,0.246,0.348,0.526,42.2,53.2,8.2,5.9,0.505,16.9,23.4,0.165
133,Jackson State,29,11,18,0.379,-14.8,-9.52,,9,9,,6,3,,4,14,,1920,2073,,69.4,94.2,0.384,0.35,0.489,43.2,42.5,11.8,5.8,0.445,15.9,27.5,0.268
134,Jacksonville State,28,17,11,0.607,-4.48,-4.29,,8,8,,9,3,,6,8,,1857,1817,,63.8,103,0.436,0.314,0.537,43.4,57,13.1,11.1,0.5,17.4,32.4,0.296
135,Jacksonville,32,14,18,0.438,-10.47,-4.74,,9,9,,10,3,,3,13,,2181,2300,,69.3,96.7,0.363,0.28,0.508,48.4,53.5,9.5,8.5,0.468,18.5,33.1,0.255
