,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
125,Howard,5,1,4,0.2,-13.77,-2.02,,0,0,,1,1,,0,0,,363,424,,73.1,99.2,0.389,0.435,0.541,47.2,60.2,7.1,12.8,0.502,17.7,22.9,0.279
126,Idaho State,24,13,11,0.542,-9.83,-7.14,,8,6,,8,3,,5,5,,1637,1481,,66.4,101.7,0.393,0.396,0.547,54.7,48.8,6.7,9.3,0.509,19.3,32.3,0.28
127,Idaho,22,1,21,0.045,-19.82,-4.41,,1,17,,1,9,,0,11,,1343,1682,,67.4,89.5,0.296,0.316,0.52,46.6,54.4,7.3,5.5,0.485,21.8,22,0.214
128,Illinois-Chicago,22,9,13,0.409,-11.38,-6.75,,6,10,,7,4,,2,9,,1489,1591,,69.6,96.1,0.228,0.418,0.516,48.4,53.2,5.2,7,0.497,16.8,23.4,0.15
129,Illinois State,25,7,18,0.28,-5.23,0.6,,4,14,,3,8,,3,9,,1799,1870,,70.7,100.3,0.252,0.383,0.544,49.5,50.8,8.4,9.3,0.526,17.3,23.8,0.167
130,Illinois NCAA,29,23,6,0.793,24.82,12.65,,16,4,,11,2,,9,3,,2361,2008,,71.5,112.4,0.392,0.307,0.583,57.1,55.6,7.9,7,0.556,15.9,33,0.271
131,Incarnate Word,22,8,14,0.364,-16.08,-8.5,,5,9,,5,7,,3,6,,1495,1578,,68.2,99.1,0.337,0.382,0.547,47.1,51.3,7.8,4.7,0.516,18.4,23.9,0.237
132,Indiana State,25,15,10,0.6,2.24,2.11,,11,7,,9,3,,5,6,,1662,1645,,66.8,99.6,0.359,0.333,0.53,48.9,46,9.8,8.7,0.489,16.2,25,0.264
133,Indiana,27,12,15,0.444,13.83,13.5,,7,12,,6,6,,3,7,,1882,1873,,67.1,100.6,0.415,0.323,0.521,49,57.5,8.3,10.5,0.485,15.1,25.3,0.275
134,Iona NCAA,17,12,5,0.706,-0.86,-7.15,,6,3,,4,2,,4,3,,1228,1121,,69.9,103.4,0.361,0.376,0.551,54.4,56,9.8,11.9,0.512,19.3,33.4,0.268
135,Iowa State,24,2,22,0.083,-0.53,10.6,,0,18,,2,10,,0,11,,1574,1841,,70.5,93,0.196,0.386,0.51,45.4,47,9.2,8.1,0.48,18.8,24.3,0.154
