,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
45,Campbell,31,12,19,0.387,-6.67,-4.27,,6,14,,7,7,,4,10,,2032,2091,,65.6,99.5,0.404,0.214,0.52,49.9,57.3,10.7,15.3,0.49,18.6,34.4,0.259
46,Canisius,30,15,15,0.5,-2.92,-3.55,,9,9,,10,4,,5,10,,2043,2024,,67.3,101.2,0.274,0.38,0.519,49.3,60.8,10.3,12.6,0.491,17.4,34.1,0.192
47,Centenary (LA),30,1,29,0.033,-25.21,-2.85,,1,17,,1,10,,0,19,,1775,2422,,70.8,83.6,0.474,0.289,0.481,43.4,49.2,10,6.5,0.44,22.7,26.6,0.297
48,Central Arkansas,29,5,24,0.172,-19.16,-5.39,,1,15,,4,9,,0,14,,1984,2216,,72.3,94.2,0.413,0.318,0.501,47.3,50.1,10.5,6.6,0.466,19.1,31.4,0.265
49,Central Connecticut State,31,19,12,0.613,-1.94,-5.97,,11,7,,12,2,,6,10,,2170,2045,,67.6,102.3,0.361,0.264,0.527,51.1,59,11,10.2,0.479,17.8,36.6,0.276
50,Central Florida,33,21,12,0.636,6.25,1.97,,6,10,,15,4,,4,7,,2271,2080,,65.3,105.3,0.464,0.344,0.55,51.7,52.8,9.3,14.7,0.512,18,34.1,0.321
51,Central Michigan,31,10,21,0.323,-8.01,-2.41,,7,9,,6,7,,3,13,,1841,2006,,64.8,90.6,0.335,0.278,0.462,49.1,41.1,11,10.2,0.43,17.4,32.3,0.211
52,Charleston Southern,32,16,16,0.5,-4.86,-4.57,,9,9,,12,2,,3,12,,2362,2197,,69,106.6,0.318,0.302,0.541,52.7,47.2,12.5,8.1,0.502,17.2,37.4,0.24
53,Charlotte,30,10,20,0.333,-2.54,1.89,,2,14,,6,7,,2,11,,1997,2130,,65.5,97.5,0.376,0.372,0.52,50.4,52.4,9.4,8.5,0.476,18.9,31.5,0.274
54,Chattanooga,32,16,16,0.5,-9.44,-2.67,,12,6,,10,6,,6,10,,2274,2380,,70.8,99.2,0.405,0.463,0.522,52.1,58.7,7.1,4.6,0.491,18.2,31,0.263
55,Chicago State,32,6,26,0.188,-27.71,-4.88,,3,9,,4,6,,1,17,,2128,2772,,74.7,88,0.379,0.259,0.476,46.1,51.6,8.5,6.7,0.439,19.8,28.4,0.246
56,Cincinnati NCAA,35,26,9,0.743,15.41,6.1,,11,7,,15,3,,7,4,,2412,2086,,63.6,107.9,0.383,0.336,0.526,53.2,58.6,11.5,10.2,0.494,14.9,38.1,0.256
57,Citadel,32,10,22,0.313,-9.84,-2.84,,6,12,,6,8,,3,12,,2049,2237,,64.4,99.1,0.308,0.278,0.508,52,53.5,7.3,4.1,0.472,16.8,33,0.221
58,Clemson NCAA,34,22,12,0.647,13.76,6.58,,9,7,,15,2,,3,7,,2330,2086,,65.1,104.5,0.385,0.345,0.539,51.2,54.9,12.2,13.2,0.503,17.2,34.2,0.27
59,Cleveland State,36,27,9,0.75,7.59,1.74,,13,5,,17,3,,9,5,,2556,2291,,66.5,106.8,0.415,0.351,0.539,49.1,49.7,11.2,7.4,0.494,14.8,31.2,0.304
60,Coastal Carolina,34,28,6,0.824,2.35,-5.15,,16,2,,15,3,,10,2,,2597,2178,,68,111.2,0.434,0.253,0.562,54.9,56,9.7,11.7,0.528,16.1,36.6,0.301
61,Colgate,30,7,23,0.233,-15.8,-5.03,,4,10,,3,9,,4,14,,1947,2270,,68,94.3,0.375,0.3,0.507,50,55.5,8.4,8,0.469,19.8,31.5,0.256
62,College of Charleston,37,26,11,0.703,6.17,-1.05,,14,4,,13,1,,10,8,,2821,2554,,67.6,112.7,0.274,0.384,0.574,49.4,47.9,8.5,9.4,0.548,15.4,32.8,0.203
63,Colorado State,32,19,13,0.594,7.49,5.26,,9,7,,9,5,,6,5,,2279,2166,,67.5,105.2,0.42,0.329,0.557,51.1,53.1,10.7,7.2,0.522,18,31.9,0.291
64,Colorado,38,24,14,0.632,11.45,5.61,,8,8,,18,2,,3,9,,3025,2787,,69.1,114,0.39,0.276,0.57,52,49.5,9.8,7.3,0.524,14.4,35.3,0.304
65,Columbia,28,15,13,0.536,-5.22,-4.81,,6,8,,10,4,,5,9,,1982,1988,,68.1,103,0.358,0.285,0.516,52.5,46.2,9.4,7.4,0.476,15.3,34.2,0.256
66,Connecticut NCAA,41,32,9,0.78,17.95,10.44,,9,9,,13,4,,5,5,,2967,2659,,65.1,109.2,0.338,0.293,0.526,52.9,50.7,9.5,13.6,0.482,14.2,38.7,0.258
67,Coppin State,30,16,14,0.533,-8.7,-7.66,,11,5,,11,3,,5,10,,2175,2169,,69.8,102.2,0.341,0.361,0.529,48.8,45.3,10.3,6.3,0.495,16.6,31.2,0.239
68,Cornell,28,10,18,0.357,-3.6,-1.6,,6,8,,6,6,,3,11,,1906,1962,,66,102.6,0.311,0.425,0.525,47.5,61.7,10,7.2,0.496,15.7,29.5,0.215
69,Creighton,39,23,16,0.59,4.87,1.41,,10,8,,19,3,,3,11,,2684,2549,,63.5,108.1,0.36,0.373,0.563,52.9,60.7,6.7,8,0.529,16.5,31,0.263
70,Dartmouth,28,5,23,0.179,-14.86,-3.39,,1,13,,3,8,,2,15,,1667,1988,,66.2,89.5,0.295,0.284,0.478,44.7,42.5,9.7,7.6,0.442,18,26.5,0.206
71,Davidson,33,18,15,0.545,-0.39,-2.17,,10,8,,10,3,,5,10,,2392,2266,,68.2,106.3,0.359,0.397,0.542,53.1,51.9,7.2,7.8,0.502,17.3,35.8,0.263
72,Dayton,36,22,14,0.611,4.87,3.2,,7,9,,14,5,,6,6,,2413,2353,,65.9,100.6,0.332,0.329,0.501,53.3,61.7,7.1,8.7,0.468,16.5,35.7,0.225
73,Delaware State,30,9,21,0.3,-12.18,-6.39,,5,11,,6,4,,3,16,,1874,1967,,61.3,101.1,0.284,0.377,0.524,42,51.5,13.7,10,0.493,15.8,27.9,0.203
74,Delaware,31,14,17,0.452,-3.79,-0.11,,8,10,,6,6,,7,9,,1951,2065,,62.9,99.2,0.402,0.328,0.514,48.4,48.7,5.8,10.3,0.473,16.1,28.1,0.278
75,Denver,30,13,17,0.433,-4.04,-3.48,,9,7,,11,4,,2,10,,1800,1817,,58.6,100.7,0.381,0.437,0.575,44.7,66.1,9.3,10.9,0.542,19.2,20,0.276
