"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"127","Tarleton St.","WAC",0.597319,127,104.103,178,100.594,96,66.6345,211,-7.5149683671821,20,0.4672,0.4672,17,0.5132,0.5141,NA,2023
"128","Middle Tennessee","CUSA",0.592025,128,105.779,152,102.409,127,66.9066,197,-5.6073375596832,12,0.4546,0.4546,16,0.5345,0.5345,NA,2023
"129","Davidson","A10",0.587834,129,107.399,124,104.134,166,65.2801,284,-8.2009533042212,14,0.4396,0.4396,16,0.5238,0.5238,NA,2023
"130","Eastern Washington","BSky",0.584368,130,110.716,67,107.484,242,68.5263,119,-3.9099969614596,17,0.4838,0.4838,13,0.451,0.4382,NA,2023
"131","Air Force","MWC",0.581731,131,106.205,140,103.202,147,63.1036,345,-8.6442042435007,5,0.3068,0.3068,20,0.569,0.569,NA,2023
"132","Butler","BE",0.579828,132,100.398,264,97.6257,52,65.734,267,-4.6763549578748,21,0.5355,0.5355,30,0.6887,0.6887,NA,2023
"133","Hawaii","BW",0.577543,133,101.21,244,98.4948,66,64.6082,313,-5.3783540357665,8,0.3865,0.3865,10,0.4388,0.4388,NA,2023
"134","Syracuse","ACC",0.576604,134,109.1,96,106.209,206,67.3016,176,-5.862360825632,10,0.4076,0.4076,19,0.5845,0.5845,NA,2023
"135","South Florida","Amer",0.571744,135,106.013,145,103.382,151,68.3464,132,-8.9874331703556,11,0.3952,0.3952,20,0.5464,0.5464,NA,2023
"136","Stephen F. Austin","WAC",0.571074,136,104.41,171,101.843,116,69.2407,81,-6.8162905967398,8,0.356,0.356,12,0.4592,0.4592,NA,2023
"137","Ohio","MAC",0.565547,137,109.893,83,107.401,238,68.1976,134,-7.3681029941732,15,0.4458,0.4458,13,0.4405,0.4405,NA,2023
"138","Utah Tech","WAC",0.565422,138,107.81,113,105.371,197,68.737,111,-10.780059120989,19,0.4196,0.4196,17,0.5062,0.5062,NA,2023
"139","Samford","SC",0.561424,139,108.228,107,105.928,202,68.0101,148,-5.890888978001,11,0.3229,0.3229,10,0.3684,0.3684,NA,2023
