,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
10,American,30,16,14,0.533,-4.37,-6.5,,12,6,,10,4,,6,10,,2149,2085,,69,103.4,0.286,0.348,0.543,48.5,48.2,11.5,9.3,0.516,15.7,26.5,0.201
11,Appalachian State,33,18,15,0.545,-0.81,-0.01,,11,9,,10,5,,7,9,,2256,2222,,68.6,99.3,0.412,0.388,0.524,49.7,49.2,10.8,6.5,0.489,17,27.7,0.274
12,Arizona State,31,20,11,0.645,11.46,8.1,,11,7,,13,3,,6,5,,2288,2184,,73.7,100.1,0.324,0.369,0.521,48.5,42.3,10.9,9.4,0.488,15.7,26.5,0.225
13,Arizona,32,21,11,0.656,19.49,8.4,,10,8,,13,4,,4,6,,2445,2090,,70.3,107.9,0.367,0.347,0.546,52.5,57.9,9.5,10.6,0.507,14.5,30.7,0.269
14,Little Rock,31,21,10,0.677,2.27,-1.07,,15,5,,13,2,,8,8,,2270,2152,,70.2,104.4,0.45,0.328,0.566,52.2,59.5,9.8,10.4,0.527,19.3,30.7,0.319
15,Arkansas-Pine Bluff,30,4,26,0.133,-21.65,-6.41,,3,15,,2,8,,2,18,,1615,2049,,67.6,79.3,0.374,0.289,0.462,48.9,49,10.6,9.8,0.435,23.3,27.9,0.22
16,Arkansas State,32,16,16,0.5,-2.92,-0.72,,8,12,,10,7,,6,9,,2262,2301,,68.5,102.4,0.474,0.317,0.537,49.3,58.9,10,7.6,0.49,16.5,28.8,0.336
17,Arkansas,32,20,12,0.625,13.46,7.27,,7,11,,14,4,,4,8,,2426,2228,,71.4,104.5,0.425,0.399,0.553,45.2,47.2,10.9,10.3,0.509,14.4,21.5,0.311
18,Army,30,15,15,0.5,-9.1,-6.68,,10,8,,9,6,,6,9,,2128,2161,,69.7,100.9,0.253,0.37,0.545,48.6,59.3,7.9,4.6,0.533,15.4,20,0.156
19,Auburn,31,25,6,0.806,15.04,7.39,,12,6,,16,1,,5,5,,2419,2182,,70.4,108.2,0.438,0.441,0.536,53.7,49.1,8.9,12.9,0.5,15,35.3,0.295
20,Austin Peay,33,21,12,0.636,-0.98,-4.14,,14,4,,14,0,,5,10,,2519,2359,,69.9,108.9,0.368,0.331,0.552,52.1,48.7,9.4,8.2,0.516,15.6,33.1,0.264
21,Ball State,31,18,13,0.581,4.12,-1.65,,11,7,,11,4,,5,7,,2155,1938,,69.4,100.2,0.308,0.48,0.536,51,55.7,9.6,9,0.508,17,25.3,0.213
22,Baylor,30,26,4,0.867,20.13,9.13,,15,3,,14,1,,8,2,,2134,1804,,66.6,106.4,0.308,0.369,0.523,52.5,54.1,12.2,12.5,0.494,14.9,35.7,0.213
23,Belmont,33,26,7,0.788,4.3,-6.23,,15,3,,13,1,,11,5,,2627,2241,,72.8,109.4,0.227,0.438,0.572,50.5,61.3,10.4,8,0.553,14.6,24.9,0.162
24,Bethune-Cookman,30,16,14,0.533,-10.16,-8.98,,10,6,,10,1,,4,13,,2239,2167,,75,98.3,0.381,0.313,0.515,50.5,46.3,9.5,7.5,0.474,17.6,30.6,0.267
25,Binghamton,29,10,19,0.345,-15.03,-4.62,,4,12,,7,7,,3,12,,2014,2221,,69.4,99.6,0.238,0.479,0.517,47.1,47.3,7.5,7.9,0.489,15.5,25.6,0.173
26,Boise State,32,20,12,0.625,8.59,4.39,,11,7,,13,2,,4,8,,2430,2223,,70,106.5,0.362,0.421,0.56,51.5,50.2,8,4.1,0.52,15.5,25.9,0.271
27,Boston College,32,13,19,0.406,1.82,7.86,,7,13,,8,10,,4,8,,2067,2260,,69.6,92.4,0.291,0.405,0.492,46.4,54.3,11,7.1,0.465,17.3,25.4,0.191
28,Boston University,34,21,13,0.618,-1.87,-5.3,,12,6,,12,3,,9,8,,2410,2269,,66.8,105,0.27,0.344,0.534,52.1,46.8,8.1,6.1,0.516,14.6,28.9,0.174
29,Bowling Green State,31,21,10,0.677,0.47,0.2,,12,6,,13,2,,5,5,,2310,2259,,71.6,103.2,0.287,0.364,0.517,51.1,46.2,7.6,6.1,0.479,13.3,28.7,0.215
30,Bradley,34,23,11,0.676,5.33,0.33,,11,7,,15,2,,4,8,,2438,2240,,67.3,105.7,0.319,0.313,0.536,53.5,52.4,7.1,12.5,0.499,14.9,31.5,0.235
31,Brigham Young,32,24,8,0.75,16.93,6.45,,13,3,,14,1,,6,5,,2548,2188,,69.7,112.8,0.239,0.414,0.603,49.6,58.4,8.2,5.4,0.588,14.3,20.5,0.168
32,Brown,27,15,12,0.556,-4.45,-1.72,,8,6,,10,4,,5,8,,1809,1854,,70.2,95.4,0.325,0.381,0.497,52.1,48.6,9.4,11.9,0.455,18.2,32.3,0.237
33,Bryant,32,15,17,0.469,-6.7,-6.67,,7,11,,9,5,,6,12,,2271,2223,,70.7,100,0.304,0.433,0.513,52,55,9.1,11.3,0.485,17.2,31.6,0.206
34,Bucknell,34,14,20,0.412,-7.73,-4.32,,8,10,,9,4,,4,14,,2299,2415,,69.9,96.7,0.284,0.418,0.521,47.9,50,10.2,9.4,0.493,17,24,0.195
35,Buffalo,32,20,12,0.625,1.8,0.06,,11,7,,10,7,,7,4,,2516,2425,,74.7,104.5,0.28,0.378,0.519,52.5,51,10.3,11.1,0.494,15.3,35,0.187
36,Butler,31,22,9,0.71,15.56,9.14,,10,8,,14,3,,5,6,,2125,1926,,64.6,105.7,0.294,0.368,0.553,53.3,50.9,8.2,7.8,0.523,15.4,29.4,0.214
37,Cal Poly,30,7,23,0.233,-10,-0.42,,4,12,,7,6,,0,15,,2027,2248,,68.8,95.4,0.348,0.34,0.516,46.9,43.9,9,6.9,0.481,17.2,23,0.242
38,Cal State Bakersfield,31,12,19,0.387,-7.11,-3.26,,6,10,,9,7,,3,12,,2109,2097,,66,101.1,0.312,0.272,0.509,54.7,46.2,9.3,10.2,0.478,16.9,36.1,0.214
39,Cal State Fullerton,31,11,20,0.355,-6.79,-1.38,,6,10,,6,8,,4,11,,2127,2213,,69.5,96.8,0.371,0.338,0.521,48,47.7,7.2,7.7,0.488,16.6,22.8,0.25
40,Cal State Northridge,32,15,17,0.469,-6.37,-0.97,,10,6,,10,4,,5,12,,2435,2528,,71.4,106.6,0.313,0.339,0.551,47.3,51.2,7.9,8.7,0.519,14.1,25.7,0.228
41,California Baptist,31,21,10,0.677,-1.99,-6.66,,10,6,,15,5,,6,5,,2465,2170,,70.5,111.5,0.345,0.431,0.567,54.8,53.9,5.8,8.5,0.524,15.4,32.4,0.271
42,UC-Davis,32,14,18,0.438,-4.7,-2.63,,8,8,,8,4,,5,12,,2330,2286,,68.4,105.7,0.315,0.369,0.573,48.3,50.1,8.4,5.3,0.534,16.7,23.4,0.248
43,UC-Irvine,32,21,11,0.656,3.73,-2.18,,13,3,,11,2,,8,8,,2367,2087,,69.1,107.1,0.283,0.298,0.555,56.7,53.5,9.3,9.9,0.526,17.2,35.3,0.209
44,UC-Riverside,32,17,15,0.531,-3.63,-4.18,,7,9,,11,5,,6,10,,2059,1939,,64.4,99.5,0.269,0.423,0.535,54.2,53,7.7,7.5,0.51,17.9,27.6,0.186
45,UC-Santa Barbara,31,21,10,0.677,-0.57,-4.06,,10,6,,13,3,,8,7,,2195,2054,,64.9,108.6,0.368,0.35,0.559,53.6,56.2,7.3,7.2,0.517,15.7,32.2,0.278
46,University of California,32,14,18,0.438,3.2,9.05,,7,11,,12,5,,1,10,,2023,2210,,65.7,95.1,0.36,0.284,0.514,49.6,41.5,6.1,7.4,0.469,17.2,24.8,0.266
47,Campbell,31,15,16,0.484,-8.51,-8.1,,6,12,,8,5,,6,10,,2130,2065,,67.2,101.9,0.258,0.415,0.558,47.6,59.2,10.7,8.3,0.532,17.3,22.2,0.189
48,Canisius,32,12,20,0.375,-7.6,-5.44,,7,13,,7,6,,4,12,,2196,2265,,70.3,97.6,0.302,0.343,0.516,48.9,56.1,10.1,7.1,0.485,17.7,28.9,0.21
49,Central Arkansas,31,10,21,0.323,-11.26,-2.7,,9,11,,8,4,,2,16,,2316,2553,,75.9,96.1,0.402,0.404,0.528,50.3,58,6.8,12.7,0.485,20,28.4,0.288
50,Central Connecticut State,31,4,27,0.129,-20.33,-4.63,,3,15,,4,9,,0,16,,1959,2396,,70.7,89.3,0.291,0.316,0.486,44.8,44.4,9.1,9.4,0.454,17.9,23.3,0.197
51,Central Florida,30,16,14,0.533,5.13,4.13,,7,11,,10,6,,4,7,,2067,2037,,68.7,99.5,0.309,0.385,0.526,49.3,54.7,9.4,8,0.494,17.4,28.8,0.219
52,Central Michigan,32,14,18,0.438,-3.4,-0.26,,7,11,,12,4,,2,14,,2506,2454,,75,104,0.334,0.375,0.531,48.8,42.4,12.1,6.8,0.491,14.7,27.9,0.249
53,Charleston Southern,32,14,18,0.438,-13.14,-6.98,,7,11,,9,6,,5,11,,2203,2304,,68.6,99.2,0.262,0.428,0.528,46.3,53.5,8.6,7,0.496,16.2,22.8,0.195
54,Charlotte,29,16,13,0.552,0.46,-1.09,,10,8,,13,2,,3,11,,1922,1877,,66.6,98.2,0.38,0.368,0.55,49.9,52.3,11.3,10.5,0.516,18.7,21.4,0.267
55,Chattanooga,33,20,13,0.606,0.39,-1.9,,10,8,,10,4,,7,8,,2410,2261,,68.2,106.6,0.289,0.413,0.556,51.7,52.5,7,4.1,0.529,15.4,26.8,0.206
56,Chicago State,29,4,25,0.138,-28.2,-2.85,,0,14,,3,11,,1,12,,1781,2372,,70.3,87.4,0.409,0.351,0.516,45.9,50.3,7.1,7.2,0.468,22.9,22.6,0.295
57,Cincinnati,30,20,10,0.667,12.33,6.73,,13,5,,13,2,,5,6,,2182,2014,,68.9,102.2,0.396,0.361,0.536,52.5,57.3,9.2,12.5,0.503,17.5,32,0.268
58,Citadel,30,6,24,0.2,-13.82,-1,,0,18,,3,11,,3,12,,2244,2433,,75.6,97.7,0.307,0.469,0.538,46.9,54.8,8.8,7.9,0.51,17.9,22.8,0.212
59,Clemson,31,16,15,0.516,10.26,7.88,,9,11,,11,6,,3,8,,2062,1988,,66.6,98.7,0.289,0.464,0.528,49.3,54.6,10.1,7.8,0.501,16.5,23.3,0.199
60,Cleveland State,32,11,21,0.344,-11.16,-2.45,,7,11,,6,8,,3,13,,2053,2298,,68.9,92.4,0.388,0.23,0.489,49.2,51.4,11.1,7.5,0.45,18.8,32,0.258
61,Coastal Carolina,33,16,17,0.485,-0.83,-0.31,,8,12,,9,9,,7,7,,2573,2518,,74,105.4,0.345,0.354,0.545,54.1,48.7,10.2,8.7,0.51,18.3,35.9,0.247
62,Colgate,34,25,9,0.735,1.47,-5.63,,14,4,,15,2,,9,7,,2588,2315,,68.8,110.3,0.246,0.46,0.557,51,52.7,8.8,7.9,0.531,13.7,28,0.184
63,College of Charleston,31,17,14,0.548,0.53,-0.84,,11,7,,10,5,,6,6,,2176,2109,,66.9,105,0.328,0.398,0.548,47.4,44.6,10,7.2,0.509,14.4,22.9,0.25
64,Colorado State,32,20,12,0.625,6.7,3.96,,11,7,,12,4,,5,6,,2417,2307,,69.7,106.8,0.39,0.393,0.569,52,59.1,9.2,5.8,0.541,16.4,26.5,0.265
65,Colorado,32,21,11,0.656,14.91,8.31,,10,8,,13,3,,4,7,,2268,2057,,68.2,103.2,0.362,0.386,0.544,53.9,54.3,8.3,7.9,0.505,16.8,30.2,0.266
66,Columbia,30,6,24,0.2,-10.19,-2.5,,1,13,,5,7,,0,16,,1988,2181,,69.6,94,0.224,0.369,0.494,47.1,44.1,7.8,8.4,0.465,14.3,20.4,0.164
67,Connecticut,31,19,12,0.613,11.15,5.34,,10,8,,14,3,,3,7,,2258,2078,,69,102.3,0.346,0.358,0.521,51.9,51.2,10,15,0.478,16.8,34.1,0.257
68,Coppin State,31,11,20,0.355,-14.36,-8.27,,7,9,,5,5,,6,15,,2109,2298,,74.4,90.7,0.327,0.47,0.487,47.4,42.8,9,8.1,0.459,17.1,23.4,0.208
69,Cornell,27,7,20,0.259,-8.37,-1.85,,4,10,,6,6,,1,14,,1818,1912,,66.2,100.3,0.269,0.393,0.531,47.8,56.8,10,8.5,0.504,15.4,24.8,0.188
70,Creighton,31,24,7,0.774,17.24,9.61,,13,5,,17,1,,6,5,,2428,2162,,70,111.5,0.29,0.426,0.58,48.5,56.5,9.3,6.6,0.553,13.9,23.6,0.214
71,Dartmouth,29,12,17,0.414,-4.17,-3.2,,5,9,,6,6,,5,10,,1894,1872,,66.6,97.2,0.274,0.398,0.53,51.3,52,6.9,8,0.506,16.5,20.7,0.185
72,Davidson,30,16,14,0.533,8.85,3.62,,10,8,,11,1,,4,9,,2182,2025,,65.4,108.5,0.315,0.445,0.569,50.4,55.9,8.2,7.7,0.534,14.7,24.7,0.24
73,Dayton,31,29,2,0.935,19.17,3.69,,18,0,,17,0,,9,0,,2480,2000,,67.9,116.4,0.339,0.39,0.619,52.5,60.3,8.3,9.2,0.597,15.8,26.4,0.244
74,Delaware State,32,6,26,0.188,-20.87,-9.54,,4,12,,3,11,,2,13,,2350,2655,,76.3,95.6,0.33,0.395,0.507,47.3,40.5,8.9,6.2,0.473,17.4,26.4,0.226
75,Delaware,33,22,11,0.667,-1.53,-3.84,,11,7,,10,3,,7,6,,2452,2332,,68.6,107.9,0.316,0.385,0.582,50.4,48.9,7.9,9.3,0.549,16.7,24.5,0.239
76,Denver,31,7,24,0.226,-10.06,-1.99,,3,13,,6,8,,0,14,,2135,2360,,71.6,95.4,0.362,0.291,0.525,48.3,45.1,8.1,7,0.491,17.4,20.8,0.25
77,DePaul,32,16,16,0.5,7.63,8.95,,3,15,,11,7,,4,9,,2262,2274,,71.7,97.8,0.333,0.304,0.512,50.3,52.2,11.1,14.8,0.484,17.5,30.9,0.219
78,Detroit Mercy,31,8,23,0.258,-9.87,-1.9,,6,12,,5,8,,2,14,,2175,2422,,70.6,99,0.321,0.441,0.51,49.5,44.5,8.1,8.2,0.462,16.5,30.8,0.251
79,Drake,34,20,14,0.588,0.43,0.61,,8,10,,14,2,,2,10,,2359,2302,,68,101.6,0.305,0.381,0.553,51.4,59.4,8.1,11.6,0.524,17,23.5,0.218
80,Drexel,33,14,19,0.424,-5.38,-2.2,,6,12,,10,5,,1,13,,2254,2323,,67.9,100.3,0.285,0.371,0.534,51.8,57.9,8.3,7,0.506,18.6,30.4,0.199
81,Duke,31,25,6,0.806,22.55,8,,15,5,,15,2,,7,4,,2558,2107,,72.9,111.4,0.356,0.315,0.559,53.8,52.1,11.2,13.6,0.526,15.2,34.8,0.256
82,Duquesne,30,21,9,0.7,6.77,1.67,,11,7,,10,4,,6,3,,2146,1993,,67.8,104.2,0.328,0.431,0.542,49.8,56.5,10.1,14.8,0.512,16,29.2,0.231
83,East Carolina,31,11,20,0.355,-2.27,1.82,,5,13,,9,7,,1,11,,2111,2238,,70.7,95.6,0.368,0.328,0.511,50.3,57.2,9.1,9.2,0.467,17.1,27.3,0.265
84,East Tennessee State,34,30,4,0.882,7.63,-1.82,,16,2,,16,1,,11,3,,2593,2146,,68.2,111.9,0.368,0.388,0.57,53.4,51.3,12,10.9,0.542,15.3,32.7,0.256
85,Eastern Illinois,32,17,15,0.531,-5.08,-7.41,,9,9,,10,2,,5,11,,2377,2214,,70.9,104,0.298,0.324,0.536,50.4,50.4,10.7,11.5,0.513,15.3,29.2,0.197
86,Eastern Kentucky,33,16,17,0.485,-9.17,-4.46,,12,6,,10,4,,5,10,,2464,2488,,76.2,98,0.319,0.401,0.513,45.2,46.3,12.2,5.5,0.476,16.1,25.7,0.231
87,Eastern Michigan,32,16,16,0.5,-3.12,0.95,,6,12,,11,4,,3,12,,2078,2050,,68.1,95.4,0.419,0.378,0.509,48.6,42.9,14.4,11.6,0.479,18.3,27.8,0.263
88,Eastern Washington,31,23,8,0.742,2.01,-1.81,,16,4,,13,2,,10,6,,2509,2259,,74.3,108,0.287,0.416,0.556,50.9,59.6,9.5,8.7,0.532,15,28.3,0.199
89,Elon,34,13,21,0.382,-7.81,-2.03,,7,11,,8,8,,3,12,,2337,2438,,67.3,101.8,0.268,0.493,0.536,48.2,56.3,7,6,0.506,15.3,23.5,0.197
90,Evansville,32,9,23,0.281,-7.04,0.61,,0,18,,5,10,,3,10,,2149,2368,,67.9,96.7,0.322,0.424,0.527,46.6,52.5,6.8,5.7,0.49,16.6,20.3,0.235
91,Fairfield,32,12,20,0.375,-9.65,-4.81,,8,12,,5,8,,6,9,,1857,2012,,63.6,89.8,0.359,0.291,0.475,51.6,42.4,7.9,8.2,0.431,18.4,30.2,0.25
92,Fairleigh Dickinson,30,11,19,0.367,-9.94,-5.87,,9,9,,7,5,,4,14,,2167,2236,,69.3,103.4,0.295,0.357,0.546,48.3,45.2,9.1,9.4,0.516,16.4,26.8,0.213
93,Florida A&M,27,12,15,0.444,-12.17,-6.24,,10,6,,8,0,,4,13,,1824,1984,,70.8,93.3,0.387,0.238,0.487,48.6,41,10.3,5.2,0.454,18.1,31.2,0.246
94,Florida Atlantic,32,17,15,0.531,-1.66,-1.25,,8,10,,14,3,,2,12,,2275,2222,,70.2,100,0.269,0.422,0.523,51,47.6,10.3,5.8,0.495,16.4,28.9,0.189
95,Florida Gulf Coast,32,10,22,0.313,-10.26,-4.3,,7,9,,6,10,,4,12,,1979,2122,,66.8,91.5,0.231,0.416,0.5,49.2,55.8,9,12.4,0.476,20,28,0.159
96,Florida International,32,19,13,0.594,0.9,-1,,9,9,,11,3,,6,9,,2455,2319,,73.9,103.4,0.292,0.416,0.548,47.8,52.2,11.8,16.2,0.529,17.7,29.5,0.19
97,Florida State,31,26,5,0.839,17.28,7.64,,16,4,,16,0,,7,5,,2336,2037,,69.7,107.3,0.301,0.354,0.553,51.9,48.5,12.5,15.9,0.519,16.3,33.4,0.226
98,Florida,31,19,12,0.613,14.94,9.1,,11,7,,11,4,,4,7,,2228,2047,,66.3,107.5,0.34,0.368,0.555,52.4,46.5,8.6,11.1,0.521,15.5,31.1,0.246
99,Fordham,31,9,22,0.29,-3.58,-0.45,,2,16,,6,12,,1,8,,1816,1913,,65.2,88.8,0.27,0.417,0.478,47,54.3,10.7,9.2,0.45,16.9,21.3,0.179
100,Fresno State,30,11,19,0.367,2.08,3.39,,7,11,,7,7,,4,10,,2075,2068,,65.3,103.8,0.305,0.49,0.532,52,52.2,7.4,11.1,0.502,16.4,30.5,0.214
101,Furman,32,25,7,0.781,6.79,-1.55,,15,3,,14,1,,10,5,,2457,2123,,69.3,110,0.302,0.463,0.579,47.8,53.9,11.8,8.5,0.556,14.7,23.6,0.212
102,Gardner-Webb,32,16,16,0.5,-5.56,-5.83,,11,7,,7,5,,6,10,,2318,2272,,67.7,104.1,0.354,0.39,0.549,49.7,54.1,9,13.7,0.518,15.9,27.1,0.245
103,George Mason,32,17,15,0.531,0.86,1.48,,5,13,,10,7,,3,8,,2148,2168,,67.4,99.2,0.344,0.345,0.511,52.5,45.6,9,13.3,0.476,17.2,33.1,0.238
104,George Washington,32,12,20,0.375,-3.99,0.92,,6,12,,7,9,,3,9,,2086,2243,,66.6,96.4,0.328,0.425,0.523,48.3,52.2,7.9,10.1,0.49,17.4,23,0.229
105,Georgetown,32,15,17,0.469,10.38,9.6,,5,13,,10,8,,4,7,,2389,2364,,71.6,104.3,0.339,0.31,0.535,52.1,57,8.7,11.5,0.491,16.3,32.4,0.262
106,Georgia Southern,33,20,13,0.606,1.69,-0.83,,12,8,,11,4,,8,8,,2494,2332,,73.3,103.1,0.364,0.4,0.537,48.5,46.6,10.7,10.2,0.507,15.6,26.6,0.246
107,Georgia State,32,19,13,0.594,3.09,0.13,,12,8,,12,3,,6,10,,2499,2311,,74,104.6,0.312,0.383,0.543,49.7,53.1,10.5,11.2,0.508,16.4,31.6,0.231
108,Georgia Tech,31,17,14,0.548,10.49,9.19,,11,9,,10,6,,6,7,,2126,2059,,70.7,96.3,0.345,0.299,0.529,51.7,54.4,10,11.7,0.499,20,29.4,0.233
109,Georgia,32,16,16,0.5,8.28,8.06,,5,13,,12,5,,3,9,,2428,2418,,72,103.8,0.334,0.383,0.54,51.4,49.3,9.7,8,0.508,17.3,32.3,0.234
110,Gonzaga,33,31,2,0.939,22.7,3.13,,15,1,,17,0,,10,1,,2885,2239,,72.5,120.1,0.388,0.313,0.599,56.6,52.5,10.1,9.5,0.575,13.2,33.7,0.267
111,Grambling,32,17,15,0.531,-12.39,-9.79,,11,7,,11,2,,6,12,,2280,2188,,71.8,99.2,0.368,0.275,0.528,51.9,49.5,10.4,11.4,0.495,17.4,30.5,0.251
112,Grand Canyon,30,13,17,0.433,-6.32,-4.05,,8,8,,8,8,,4,6,,2116,2191,,67.8,103.2,0.372,0.33,0.548,48.2,48,7,3.7,0.506,15.1,23,0.278
113,Green Bay,33,17,16,0.515,-4.8,-2.8,,11,7,,10,5,,7,10,,2694,2643,,75.3,107.3,0.317,0.324,0.555,48.5,55.2,9.1,8.1,0.519,14.5,26.8,0.24
114,Hampton,34,15,19,0.441,-12.02,-5.8,,8,10,,11,5,,3,13,,2635,2693,,71.9,107,0.405,0.317,0.546,49.5,53.8,6.9,10,0.509,14.1,28.2,0.283
115,Hartford,33,18,15,0.545,-6.79,-6.02,,9,7,,9,8,,9,7,,2201,2203,,69.2,96,0.309,0.401,0.519,47,55.4,10.5,6.5,0.486,17.3,22.9,0.217
116,Harvard,29,21,8,0.724,3.06,-1.55,,10,4,,11,1,,9,4,,2114,1928,,68.9,104,0.322,0.378,0.546,53.4,45,9.2,14.1,0.516,17.2,30.4,0.226
117,Hawaii,30,17,13,0.567,-1.27,-2.1,,8,8,,14,6,,3,7,,2057,2016,,68.9,99.1,0.315,0.38,0.522,50.1,55.1,7.9,5.1,0.489,16.6,27.8,0.222
118,High Point,32,9,23,0.281,-16.31,-5.34,,6,12,,6,9,,3,14,,2110,2396,,67.7,96.7,0.4,0.354,0.506,51.3,55,7.5,11.9,0.463,18,32.2,0.28
119,Hofstra,34,26,8,0.765,3.06,-3.85,,14,4,,10,4,,11,4,,2596,2326,,68.9,110.8,0.336,0.378,0.562,50.8,46.8,10,5.7,0.52,14.2,30.3,0.263
120,Holy Cross,32,3,29,0.094,-18.07,-4.26,,2,16,,2,12,,0,16,,2106,2537,,68.9,94.5,0.252,0.377,0.514,47.6,47,7,7,0.491,18.3,25.1,0.169
121,Houston Baptist,29,4,25,0.138,-17.41,-3.62,,4,16,,2,9,,2,15,,2323,2723,,78,102.3,0.38,0.33,0.547,49.4,46.4,7.2,5.1,0.503,18.6,32.2,0.284
122,Houston,31,23,8,0.742,16.46,6.3,,13,5,,14,2,,6,6,,2241,1926,,66.8,107.8,0.329,0.343,0.519,56.5,50.8,7.7,15.1,0.48,14.6,38.7,0.24
123,Howard,33,4,29,0.121,-21.88,-7.98,,1,15,,2,13,,1,14,,2306,2682,,71.9,96,0.331,0.374,0.518,45,54.8,7.5,9.2,0.485,17.9,26.4,0.23
124,Idaho State,30,8,22,0.267,-8.62,-1.62,,4,16,,4,9,,3,13,,2093,2198,,67.7,101.8,0.349,0.331,0.539,50.6,46.1,6.7,5.7,0.514,17.3,29.3,0.229
125,Idaho,32,8,24,0.25,-12.07,-2.1,,4,16,,5,10,,2,12,,2086,2329,,69.3,93.8,0.301,0.26,0.513,49.7,49,8,6.1,0.484,18.1,24.4,0.203
126,Illinois-Chicago,35,18,17,0.514,-3.74,-3.8,,10,8,,11,7,,5,9,,2412,2407,,70.5,97.4,0.294,0.377,0.533,51.3,56.1,8.1,12,0.507,19.5,27.9,0.202
127,Illinois State,31,10,21,0.323,-2.7,1.97,,5,13,,9,6,,1,11,,2050,2171,,68.4,96.3,0.252,0.416,0.525,48.9,50.4,8.4,7.3,0.498,18.6,25.6,0.179
128,Illinois,31,21,10,0.677,15.27,9.84,,13,7,,15,3,,6,6,,2239,2024,,67.5,106.6,0.332,0.309,0.528,55.3,50.7,7.2,7.3,0.491,15,35.8,0.241
129,Incarnate Word,31,9,22,0.29,-18.57,-6.85,,6,14,,7,9,,2,13,,2050,2292,,69.2,94,0.321,0.358,0.511,47.1,52.6,10.3,6.9,0.471,19.1,27.6,0.236
130,Indiana State,30,18,12,0.6,3.22,1.81,,11,7,,12,1,,4,8,,2052,2004,,66.2,102.9,0.329,0.343,0.549,49.2,51.6,8.3,10,0.517,15.5,23.5,0.236
131,Indiana,32,20,12,0.625,15.07,10.35,,9,11,,15,4,,2,8,,2286,2135,,68.7,103.6,0.392,0.296,0.528,54,51,8.1,12.6,0.493,15.7,32.4,0.266
132,Iona,29,12,17,0.414,-6.23,-5.37,,9,11,,5,6,,4,9,,2030,2055,,68.6,100.7,0.337,0.424,0.552,48.5,54.8,9.9,10.4,0.51,18.3,25.1,0.26
133,Iowa State,32,12,20,0.375,9.1,10.07,,5,13,,11,6,,0,11,,2304,2335,,70.4,101.9,0.285,0.377,0.533,48.9,53,10.5,11.3,0.498,16.4,29.2,0.213
134,Iowa,31,20,11,0.645,16.07,10.62,,11,9,,14,2,,4,7,,2410,2241,,70.6,110.2,0.344,0.376,0.554,51.5,63.9,8.7,10.6,0.516,14.7,32,0.258
135,Purdue-Fort Wayne,33,14,19,0.424,-7.87,-3.2,,6,10,,10,5,,3,13,,2261,2320,,69.5,98.6,0.251,0.446,0.519,51.3,50.2,10.7,8.3,0.497,17.3,28.5,0.168
136,IUPUI,32,7,25,0.219,-14.89,-3.39,,3,15,,4,9,,3,14,,2256,2564,,71.9,97.3,0.316,0.387,0.504,47.7,53.7,8.9,6.4,0.478,16.6,29.3,0.204
