,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
223,North Texas NCAA,26,17,9,0.654,7.43,-0.21,,9,5,,8,3,,5,6,,1815,1592,,65.6,105.9,0.273,0.373,0.572,52.1,51.9,10.3,8.5,0.546,17.8,28.3,0.201
234,Ohio State NCAA,30,21,9,0.7,19.93,13.56,,12,8,,10,4,,7,4,,2320,2129,,67.5,113.6,0.376,0.394,0.573,51.8,49.5,6.8,9.5,0.531,13.4,29.1,0.287
235,Ohio NCAA,23,16,7,0.696,5.75,-1.3,,9,5,,8,3,,4,4,,1860,1685,,71.9,112.5,0.298,0.385,0.581,50.9,60.1,9.4,6,0.558,14.7,28.8,0.209
236,Oklahoma State NCAA,28,20,8,0.714,14.15,9.97,,11,7,,10,3,,8,4,,2158,2041,,72.8,103.6,0.363,0.319,0.555,52.1,47.7,9.8,11.1,0.521,18.7,31.9,0.259
237,Oklahoma NCAA,25,15,10,0.6,13.74,8.22,,9,8,,10,3,,4,7,,1869,1731,,69.2,106.4,0.291,0.39,0.541,50,50,10.5,9.2,0.508,13.8,27.3,0.217
239,Oral Roberts NCAA,26,16,10,0.615,-0.78,-2.6,,10,5,,8,3,,5,7,,2126,1970,,73.7,111,0.273,0.466,0.582,47.5,44.8,8.7,9.6,0.545,14.1,23.8,0.225
240,Oregon State NCAA,29,17,12,0.586,7.53,7.67,,10,10,,10,6,,4,6,,2049,1981,,66,106.1,0.34,0.351,0.539,50.2,59.8,9.1,9.9,0.497,14.7,30.1,0.258
241,Oregon NCAA,26,20,6,0.769,13.6,6.64,,14,4,,11,2,,7,2,,1934,1753,,67.9,109.6,0.268,0.38,0.566,50.7,48.8,11,10.7,0.544,14.8,28.3,0.189
253,Purdue NCAA,27,18,9,0.667,17.27,12.46,,13,6,,11,1,,5,6,,1920,1790,,66.8,106,0.322,0.375,0.545,54.5,56,7.7,11.2,0.514,16.1,32.2,0.229
261,Rutgers NCAA,26,15,11,0.577,15.17,13.44,,10,10,,10,4,,4,6,,1819,1774,,68.5,101.6,0.277,0.327,0.521,49.2,51.6,11.3,14.1,0.502,14.4,27.4,0.175
271,San Diego State NCAA,27,23,4,0.852,14.59,2.17,,14,3,,13,2,,6,2,,2000,1635,,67.1,109.9,0.345,0.4,0.562,53,53.8,12.3,10,0.529,14.6,29,0.249
288,Southern California NCAA,29,22,7,0.759,17.24,7.59,,15,5,,13,2,,7,3,,2168,1888,,67.6,108.8,0.375,0.312,0.545,55,50.3,7,13.6,0.521,15.4,35.6,0.242
295,St. Bonaventure NCAA,20,16,4,0.8,15.23,5.08,,11,4,,8,1,,4,3,,1410,1207,,65.2,108.2,0.278,0.319,0.536,53.1,56.8,9.2,12.4,0.505,14.4,33.6,0.204
302,Syracuse NCAA,25,16,9,0.64,13.75,8.63,,9,7,,13,1,,2,7,,1896,1768,,69.7,108.2,0.284,0.391,0.545,48.6,56.5,12.4,14.4,0.507,13.8,30.2,0.222
308,Tennessee NCAA,26,18,8,0.692,18.08,8.81,,10,7,,13,3,,4,4,,1885,1644,,68.8,105.4,0.351,0.343,0.542,51.6,59.2,10.5,14.4,0.501,15.7,31.4,0.262
316,Texas Southern NCAA,24,16,8,0.667,-7.49,-10.96,,10,3,,8,2,,5,6,,1795,1672,,74.4,100,0.382,0.276,0.526,53.9,45.8,9.6,12.4,0.489,18.4,32.7,0.267
318,Texas Tech NCAA,27,17,10,0.63,16.55,6.92,,9,8,,11,4,,5,4,,1972,1712,,67,108,0.393,0.313,0.537,51.5,51,10.7,12.6,0.497,13.9,33.6,0.279
319,Texas NCAA,26,19,7,0.731,16.25,9.82,,11,6,,8,5,,6,2,,1956,1789,,69.6,106.5,0.341,0.419,0.559,53,50,9.3,10,0.529,17.5,31.3,0.241
325,UCLA NCAA,26,17,9,0.654,12.39,8.04,,13,6,,11,1,,5,6,,1894,1781,,65.5,108.1,0.326,0.317,0.552,53.2,51.6,7.5,7.8,0.52,14.5,30.2,0.235
326,Utah State NCAA,28,20,8,0.714,11.22,0.74,,13,4,,10,2,,5,3,,2052,1743,,69.5,105.4,0.302,0.32,0.533,57.2,60.7,9.8,14.6,0.5,16.5,35.7,0.219
332,Villanova NCAA,22,16,6,0.727,18.08,9.67,,11,4,,9,0,,4,4,,1662,1477,,66.2,113.4,0.301,0.446,0.563,51.1,57.8,8,4.4,0.529,11.9,28,0.23
333,Virginia Commonwealth NCAA,26,19,7,0.731,12.35,5.81,,10,4,,12,2,,5,3,,1864,1694,,70.5,101.2,0.34,0.349,0.55,49.6,52.7,13,14.8,0.509,18.3,28,0.259
335,Virginia Tech NCAA,21,15,6,0.714,13.69,7.07,,9,4,,10,2,,3,3,,1515,1376,,66.5,107.2,0.332,0.41,0.553,52.3,56.6,7.1,11.8,0.525,15.2,28.4,0.232
336,Virginia NCAA,24,18,6,0.75,16.66,8.49,,13,4,,10,1,,6,3,,1647,1451,,60.8,112.3,0.22,0.423,0.589,52.1,55.1,8,13,0.561,13.9,23.1,0.179
342,West Virginia NCAA,27,18,9,0.667,15.89,10.7,,11,6,,8,5,,7,2,,2087,1947,,70.7,107.8,0.394,0.331,0.53,51.7,52.5,10.4,7.6,0.487,14.3,35.5,0.283
347,Wichita State NCAA,21,16,5,0.762,9.45,6.81,,11,2,,10,2,,5,2,,1520,1416,,68.8,104,0.365,0.406,0.514,49,54.3,8.8,9.5,0.477,13.9,30.6,0.251
349,Winthrop NCAA,24,23,1,0.958,5.13,-7.62,,17,1,,11,1,,10,0,,1909,1603,,72.8,109.3,0.357,0.393,0.558,56.3,53.6,10.7,6.7,0.53,16.6,35.5,0.245
350,Wisconsin NCAA,29,17,12,0.586,17.81,12.5,,10,10,,11,5,,5,6,,2019,1865,,65.7,105,0.269,0.408,0.53,48.8,54.3,8.8,10.4,0.494,12,23.7,0.207
