,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
27,Boston College,32,8,24,0.25,3.01,8.62,,4,14,,4,9,,3,11,,2197,2354,,62.7,107.4,0.435,0.437,0.567,47.1,55.4,6.8,6.7,0.523,15.6,27.2,0.323
28,Boston University,35,24,11,0.686,1.77,-2.4,,15,3,,11,6,,11,4,,2492,2346,,65.9,106.6,0.299,0.392,0.552,49.1,54.9,10.5,4.9,0.523,15.4,28.1,0.213
29,Bowling Green State,32,12,20,0.375,-3.45,-0.2,,6,12,,7,8,,4,11,,2007,2055,,67,92.9,0.361,0.239,0.491,49.8,52.1,11.4,15.1,0.46,18.7,30.2,0.23
30,Bradley,32,12,20,0.375,-2.72,-0.31,,7,11,,11,6,,1,11,,2036,2113,,63.9,99.7,0.365,0.278,0.504,50,42.4,11.1,8.5,0.464,15.9,32.3,0.256
31,Brigham Young NCAA,35,23,12,0.657,11.63,5.72,,13,5,,14,1,,5,7,,2931,2706,,73.5,111.9,0.483,0.228,0.545,53.3,53.8,9.6,7.3,0.503,12.8,34.7,0.334
32,Brown,29,15,14,0.517,-1.44,-4.04,,7,7,,8,6,,7,8,,2065,1951,,69.4,101.7,0.348,0.302,0.52,51.9,52.8,8.1,11.9,0.489,15.9,30.4,0.234
33,Bryant,32,18,14,0.563,-4.25,-4.89,,10,6,,11,4,,7,9,,2351,2304,,67.9,107.3,0.374,0.337,0.558,48.5,50,9.4,7.7,0.526,15.9,28.7,0.263
34,Bucknell,30,16,14,0.533,-1.3,-3.14,,11,7,,8,6,,8,8,,1977,1922,,63.7,103.5,0.317,0.309,0.528,52.8,51.1,7.2,4.4,0.489,14.6,29,0.237
35,Buffalo,29,19,10,0.655,3.58,-2.13,,13,5,,13,1,,6,6,,2132,1952,,67.7,108.2,0.419,0.342,0.545,52.1,59.8,10,12.3,0.504,15.7,35.1,0.299
36,Butler,31,14,17,0.452,7.04,6.98,,4,14,,8,7,,4,7,,2125,2064,,64,104.2,0.372,0.323,0.514,50.3,45.7,9.1,7.4,0.482,13,30.7,0.246
37,Cal Poly NCAA,34,14,20,0.412,-1.34,1.69,,6,10,,6,6,,3,12,,2141,2163,,60.8,103.5,0.326,0.354,0.501,48.8,52.3,9.6,8,0.466,12.4,31.8,0.224
38,Cal State Bakersfield,32,13,19,0.406,-4.86,-4.31,,5,11,,6,7,,5,10,,2215,2189,,66,104,0.382,0.324,0.535,51.6,50.1,9.8,10.4,0.501,17.6,34.5,0.263
39,Cal State Fullerton,31,11,20,0.355,-5.08,-1.12,,6,10,,8,5,,3,12,,2092,2215,,66.8,100.6,0.381,0.334,0.513,49.1,46.7,7,4.9,0.481,15.4,29.1,0.251
40,Cal State Northridge,35,17,18,0.486,-4.89,-3.29,,7,9,,11,3,,2,14,,2689,2712,,68.7,108.6,0.495,0.206,0.557,51.9,53,9.8,7.6,0.492,15.6,33.6,0.391
41,UC-Davis,31,9,22,0.29,-11.55,-1.76,,4,12,,6,9,,1,13,,2174,2408,,66.6,102.7,0.371,0.404,0.543,43.9,49.9,7.5,5.9,0.51,15.7,24.4,0.258
42,UC-Irvine,35,23,12,0.657,4.35,-0.65,,13,3,,12,4,,10,7,,2468,2231,,65.6,106.3,0.366,0.288,0.544,52.8,60.1,8.4,16,0.521,16.4,32.2,0.234
43,UC-Riverside,31,10,21,0.323,-7.64,-2.33,,5,11,,8,7,,2,13,,2117,2214,,67.5,99.5,0.416,0.267,0.517,49.2,47.2,9.4,11.2,0.473,16.6,29.5,0.292
44,UC-Santa Barbara,30,21,9,0.7,4.23,-0.13,,12,4,,10,3,,9,5,,2137,1960,,63.1,111.5,0.417,0.347,0.567,51.7,65.4,7.8,14,0.531,15.1,32.3,0.295
45,University of California,35,21,14,0.6,10.7,7.44,,10,8,,15,4,,5,7,,2533,2419,,66.4,107.7,0.356,0.286,0.538,50.5,58.3,7.9,11.1,0.507,13.1,29.6,0.244
46,Campbell,32,12,20,0.375,-14.04,-7.33,,6,10,,9,7,,3,12,,2164,2291,,64,104.4,0.291,0.455,0.544,48.3,58.9,9.3,11,0.521,17.7,31.9,0.197
47,Canisius,34,21,13,0.618,1.24,-1.95,,14,6,,9,4,,8,7,,2661,2570,,69.1,114.1,0.383,0.353,0.566,47.9,46.5,10,10.3,0.527,14.4,33.2,0.284
48,Central Arkansas,29,8,21,0.276,-16.25,-5.54,,5,13,,7,8,,1,13,,2165,2360,,74.3,99.8,0.378,0.296,0.521,45.4,46.8,11.4,11,0.501,16.9,28.8,0.227
49,Central Connecticut State,30,11,19,0.367,-13.1,-6.06,,7,9,,5,8,,6,10,,2117,2318,,70.8,98.9,0.3,0.281,0.516,46.6,50.1,9.7,11.9,0.482,17,28.9,0.215
50,Central Florida,31,13,18,0.419,2.35,5.14,,4,14,,10,7,,2,10,,2253,2281,,68,105.2,0.384,0.351,0.52,52.2,48.4,9.9,10.8,0.497,16.4,37.8,0.236
51,Central Michigan,31,10,21,0.323,-8.82,-2.72,,3,15,,8,8,,2,13,,2246,2288,,65.8,108.3,0.371,0.44,0.54,47.9,48.4,11.2,3.5,0.504,13.7,30.1,0.263
52,Charleston Southern,31,13,18,0.419,-5.27,-5.75,,6,10,,8,6,,4,12,,2523,2242,,68.6,116.3,0.367,0.421,0.573,51.9,49.4,9.3,7.7,0.538,13.2,32.6,0.268
53,Charlotte,31,17,14,0.548,-0.69,-0.5,,7,9,,10,5,,3,8,,2215,2221,,69.7,101.7,0.395,0.295,0.527,52.3,53.3,8.6,6.5,0.497,17.8,33.8,0.256
54,Chattanooga,33,18,15,0.545,-10.83,-7.9,,12,4,,11,2,,5,11,,2489,2439,,70.4,106.3,0.451,0.339,0.533,51.3,47,9.9,11.8,0.489,15.9,35.5,0.317
55,Chicago State,32,13,19,0.406,-10.47,-2.44,,8,8,,9,5,,4,13,,2232,2439,,69.6,98.3,0.344,0.347,0.509,43.8,45.5,12.2,7.6,0.476,15.1,26.7,0.232
56,Cincinnati NCAA,34,27,7,0.794,15.26,5.28,,15,3,,18,1,,7,3,,2325,1986,,63.6,107.5,0.387,0.309,0.519,53.2,52.8,12.4,16,0.477,14.4,39.1,0.274
57,Citadel,33,7,26,0.212,-17.61,-6.75,,2,14,,6,8,,0,15,,2211,2453,,66.5,100,0.368,0.327,0.529,47.5,57.9,6.2,7.5,0.489,16.5,26.7,0.266
58,Clemson,36,23,13,0.639,11.08,5.97,,10,8,,16,3,,4,7,,2287,2103,,59.9,103.9,0.361,0.326,0.519,51.4,48.1,7.6,16.2,0.474,15.4,33.8,0.269
59,Cleveland State,33,21,12,0.636,4.38,-0.52,,12,4,,12,3,,9,8,,2410,2186,,64.6,111.3,0.369,0.333,0.574,51.4,56,9.2,10,0.536,16.5,33.1,0.278
60,Coastal Carolina NCAA,34,21,13,0.618,-5.21,-6.31,,11,5,,14,5,,6,7,,2458,2326,,68.6,104.2,0.385,0.319,0.528,53.2,42,9.2,8.6,0.491,16.9,35.1,0.266
61,Colgate,31,13,18,0.419,-2.51,-4.08,,6,12,,7,8,,6,10,,2158,2083,,62.8,109,0.283,0.405,0.586,49.1,56.1,7.2,6.3,0.564,16.2,23.9,0.202
62,College of Charleston,32,14,18,0.438,-2.02,-1.89,,6,10,,9,7,,4,8,,2016,2006,,62.1,99.8,0.345,0.357,0.504,53.9,45.7,7.4,10.8,0.473,17,35.2,0.226
63,Colorado State,32,16,16,0.5,3.29,2.16,,7,11,,14,6,,2,9,,2347,2230,,65.8,111.5,0.488,0.29,0.53,53.4,52.6,7.6,9.2,0.476,11.7,34.9,0.354
64,Colorado NCAA,35,23,12,0.657,10.8,8.8,,10,8,,16,2,,5,6,,2457,2387,,67,103.7,0.483,0.304,0.534,54.3,48.8,8.7,9,0.483,16.8,34,0.346
65,Columbia,34,21,13,0.618,2.21,-1.92,,8,6,,14,4,,5,8,,2313,2151,,61.8,108.1,0.428,0.431,0.578,52.3,56.5,8.1,7.4,0.53,17.1,28.3,0.332
66,Connecticut NCAA,40,32,8,0.8,17.23,8.63,,12,6,,14,3,,6,4,,2873,2529,,65.5,108.9,0.383,0.343,0.562,50.2,50.3,10.7,15.2,0.515,15.2,30.4,0.298
67,Coppin State,32,12,20,0.375,-11.09,-4.99,,7,9,,5,7,,5,10,,2231,2403,,68.5,101.4,0.411,0.394,0.507,46.1,51.1,8.7,6,0.456,14.7,30.4,0.3
68,Cornell,28,2,26,0.071,-15.6,0.03,,1,13,,2,11,,0,15,,1795,2195,,65.2,97.4,0.283,0.379,0.498,46.5,46,6.4,7.9,0.471,15.7,28.5,0.188
69,Creighton NCAA,35,27,8,0.771,18.03,7.17,,14,4,,16,0,,7,4,,2756,2376,,65.3,120.6,0.339,0.446,0.616,51.7,64.2,6.1,3.8,0.589,13.3,27.7,0.252
70,Dartmouth,28,12,16,0.429,-4.85,-3.24,,5,9,,8,7,,4,9,,1905,1864,,64.4,105.2,0.37,0.303,0.534,51.6,52.3,9.2,9.6,0.501,15.9,32,0.254
71,Davidson,33,20,13,0.606,0.81,-3.73,,15,1,,8,4,,10,4,,2591,2404,,68,113.7,0.392,0.387,0.582,50,50.3,7.9,4.4,0.55,14.5,29.3,0.28
72,Dayton NCAA,37,26,11,0.703,10.55,5.34,,10,6,,13,4,,7,4,,2671,2478,,65.4,109.6,0.406,0.319,0.555,52.7,51.9,9.1,7.3,0.524,15.5,34,0.277
73,Delaware State,30,9,21,0.3,-12.64,-6.11,,5,11,,7,7,,2,12,,1847,1946,,61.2,99.4,0.379,0.317,0.512,47.9,56.8,8.2,10.8,0.474,15.9,28.8,0.261
74,Delaware NCAA,35,25,10,0.714,2.73,-1.1,,14,2,,10,2,,11,7,,2782,2648,,70.9,111.7,0.439,0.345,0.546,48.1,40.3,8.4,8.5,0.504,11.6,29.1,0.312
75,Denver,31,16,15,0.516,0.84,-0.42,,8,6,,9,4,,5,8,,2044,1999,,59.2,109.6,0.339,0.426,0.574,45.4,65.5,11.6,10,0.546,14.7,24.8,0.24
76,DePaul,33,12,21,0.364,1.5,7.47,,3,15,,8,9,,3,9,,2290,2487,,67.3,101.6,0.42,0.314,0.517,49.8,45.9,9.8,11.5,0.476,16.7,33.8,0.287
77,Detroit Mercy,32,13,19,0.406,-3.25,-0.25,,6,10,,8,7,,5,12,,2275,2267,,68,102.6,0.389,0.319,0.515,51.4,47.6,10.6,13,0.469,15.6,34.1,0.283
78,Drake,31,15,16,0.484,-0.77,1.03,,6,12,,9,5,,4,9,,2116,2115,,64.4,105.5,0.384,0.379,0.562,50.8,54.9,8.5,6.4,0.527,16.4,27.2,0.274
79,Drexel,30,16,14,0.533,1.23,-0.24,,8,8,,8,4,,6,8,,2064,2020,,63.4,104.6,0.392,0.288,0.51,49.5,49.2,6.9,10.5,0.466,11.2,28.9,0.278
80,Duke NCAA,35,26,9,0.743,19.51,8.48,,13,5,,17,0,,4,5,,2745,2359,,65.5,119.4,0.388,0.397,0.574,51.5,54.8,10.6,7.4,0.538,12.1,34.5,0.283
81,Duquesne,30,13,17,0.433,0.66,1.03,,5,11,,6,8,,7,6,,2200,2211,,68.3,107.4,0.422,0.353,0.539,50,60.9,8.5,8,0.506,14,29.9,0.283
82,East Carolina,34,17,17,0.5,-4.08,-2.41,,5,11,,10,7,,3,10,,2477,2411,,66.5,109.7,0.436,0.429,0.56,48.7,56.6,9.5,8.2,0.52,15.2,30.9,0.311
83,East Tennessee State,35,19,16,0.543,-5.93,-6.08,,10,8,,14,6,,5,10,,2689,2663,,71.2,107.1,0.429,0.371,0.546,47.8,48.8,10.7,8.8,0.497,14.2,28.6,0.321
84,Eastern Illinois,30,11,19,0.367,-11.53,-4.21,,7,9,,7,7,,4,11,,2030,2206,,66.4,101.9,0.413,0.298,0.531,49.6,51.1,8.6,13.5,0.487,17.3,31.6,0.295
85,Eastern Kentucky NCAA,34,24,10,0.706,0.6,-4.34,,11,5,,12,2,,8,6,,2677,2411,,67.5,116.3,0.441,0.446,0.611,44.3,56.5,13,6.4,0.574,14.1,23.6,0.331
86,Eastern Michigan,37,22,15,0.595,1.79,0.67,,10,8,,16,3,,4,11,,2423,2270,,65,99.8,0.437,0.302,0.501,47.7,47.9,12.6,18.3,0.456,14.8,30.8,0.296
87,Eastern Washington,31,15,16,0.484,-5.32,-4.15,,10,10,,10,4,,3,11,,2362,2329,,69.5,109.1,0.391,0.378,0.556,51,51.3,6.8,10.8,0.524,14.9,30.2,0.271
88,Elon,32,18,14,0.563,-4.02,-4.5,,11,5,,11,4,,7,6,,2392,2281,,67.9,109.3,0.357,0.382,0.572,49.4,52.8,7.4,7.1,0.539,15.6,27.8,0.258
89,Evansville,33,14,19,0.424,-3.12,1.2,,6,12,,10,7,,3,11,,2290,2383,,66.7,103.2,0.496,0.238,0.554,48.4,62.6,7.5,10.4,0.507,17,26.8,0.356
90,Fairfield,32,7,25,0.219,-7.37,-0.81,,4,16,,4,9,,2,13,,2030,2240,,66.9,94.4,0.346,0.376,0.497,50,51.6,6.6,9.7,0.46,18.7,30.5,0.237
91,Fairleigh Dickinson,31,10,21,0.323,-11.24,-4.07,,6,10,,6,6,,4,14,,2157,2358,,67,103,0.352,0.36,0.523,45.4,45.7,10,10.8,0.484,15,30,0.253
92,Florida A&M,32,14,18,0.438,-12.31,-7.58,,8,8,,9,3,,3,14,,2281,2370,,72,98.3,0.342,0.317,0.488,49.4,44.5,10.2,10.2,0.455,16.6,35.9,0.224
93,Florida Atlantic,32,10,22,0.313,-5.12,-0.42,,5,11,,7,8,,3,11,,2120,2192,,65.5,101.1,0.368,0.357,0.513,51,50.9,7.2,11.5,0.484,16.8,34.6,0.236
94,Florida Gulf Coast,35,22,13,0.629,-1.97,-5.76,,14,4,,16,2,,6,10,,2504,2339,,68.2,104.2,0.361,0.311,0.546,52,48.9,8.3,9.6,0.518,16.7,29.9,0.243
95,Florida International,31,15,16,0.484,-5.4,-1.58,,7,9,,9,6,,5,8,,2128,2170,,67.2,101.4,0.415,0.286,0.529,51.1,44.6,10.5,10.8,0.494,17.8,33.8,0.278
96,Florida State,36,22,14,0.611,12.63,8.13,,9,9,,12,5,,6,6,,2554,2392,,66.1,106.6,0.456,0.268,0.56,50.8,44.1,8.9,13.9,0.517,18.3,34.8,0.329
97,Florida NCAA,39,36,3,0.923,20.69,8.54,,18,0,,17,0,,10,2,,2727,2253,,62.9,111.1,0.424,0.346,0.552,53.8,53.9,11.2,8.6,0.522,14.5,34.7,0.283
98,Fordham,31,10,21,0.323,-3.16,3.14,,2,14,,7,8,,2,12,,2224,2419,,69.2,103.3,0.334,0.37,0.494,48.8,49.6,9.6,10.8,0.45,13.6,35.4,0.245
99,Fresno State,39,21,18,0.538,3.59,3.75,,9,9,,13,6,,7,10,,2837,2749,,66.3,107.7,0.407,0.376,0.548,47.9,49.5,9.6,11.9,0.505,13.2,26.6,0.298
100,Furman,30,9,21,0.3,-17.44,-7.4,,3,13,,6,8,,3,12,,1955,2196,,65.5,99.1,0.411,0.319,0.531,47.5,42.4,7.5,7.6,0.495,18.1,27.8,0.28
101,Gardner-Webb,33,18,15,0.545,-7.33,-6.9,,10,6,,8,5,,7,9,,2425,2309,,67.3,106,0.426,0.272,0.532,51.1,58.7,11,7.9,0.494,15.1,33.7,0.292
102,George Mason,31,11,20,0.355,2.03,4.58,,5,12,,6,8,,4,8,,2154,2233,,67.7,101.5,0.401,0.253,0.526,50.7,44.8,7.7,9.7,0.484,17.1,31.7,0.284
103,George Washington NCAA,33,24,9,0.727,10.6,4.42,,11,5,,14,1,,6,5,,2415,2211,,68,107.3,0.466,0.284,0.546,52.5,54.9,10.4,11.2,0.515,16.2,35.1,0.304
104,Georgetown,33,18,15,0.545,10.96,8.27,,8,10,,13,3,,2,9,,2344,2255,,65,108.4,0.448,0.312,0.555,50.5,53.8,9.2,12.9,0.511,15.5,31.9,0.322
105,Georgia Southern,34,15,19,0.441,-11.44,-8.6,,6,10,,7,6,,5,11,,2406,2395,,67.1,104.2,0.379,0.372,0.529,49.9,38.9,10.1,4.6,0.499,15.1,30.4,0.251
106,Georgia State,34,25,9,0.735,6.04,-2.56,,17,1,,13,0,,10,7,,2641,2330,,65.8,116.3,0.394,0.349,0.579,46.6,50.1,11.5,14.8,0.534,10.5,25.2,0.306
107,Georgia Tech,33,16,17,0.485,5.12,5.24,,6,12,,10,7,,5,7,,2200,2204,,64.8,101.8,0.344,0.297,0.512,52,54.5,7.9,11.5,0.478,15.7,32.7,0.236
108,Georgia,34,20,14,0.588,7.9,5.78,,12,6,,15,3,,4,7,,2343,2271,,65.2,105,0.541,0.275,0.536,53.3,44.5,7.8,13.1,0.489,16.9,35.3,0.369
109,Gonzaga NCAA,36,29,7,0.806,15.56,5.36,,15,3,,15,0,,8,4,,2761,2372,,68.1,114.1,0.404,0.328,0.59,52.3,54,9.7,10.2,0.56,15.2,30.6,0.286
110,Grambling,29,5,24,0.172,-24.61,-9.05,,3,15,,3,8,,1,15,,1903,2316,,69,95.1,0.409,0.352,0.505,46.6,46.5,8.8,5.5,0.467,18.7,30.8,0.273
111,Grand Canyon,30,15,15,0.5,-6.4,-3.51,,10,6,,8,4,,5,9,,2163,2152,,67.8,105.9,0.536,0.38,0.556,50.7,57.5,5.9,6.7,0.5,16.4,28.4,0.397
112,Green Bay,31,24,7,0.774,7.18,0.11,,14,2,,13,4,,9,2,,2304,1999,,67.7,108.8,0.438,0.247,0.556,52.2,58.2,10.5,18.7,0.518,15.9,33.9,0.308
113,Hampton,31,18,13,0.581,-5.17,-7.91,,13,4,,9,3,,8,7,,2262,2177,,71.1,99.8,0.51,0.3,0.511,49.3,49.1,10.3,15.4,0.467,17.1,33.1,0.335
114,Hartford,33,17,16,0.515,-6.63,-6.18,,10,6,,9,3,,7,9,,2162,2177,,63.7,102.5,0.389,0.442,0.573,46.4,55,8.8,6,0.542,19.5,24,0.273
115,Harvard NCAA,32,27,5,0.844,10.79,-0.47,,13,1,,11,1,,11,3,,2343,1952,,64.6,111.6,0.48,0.283,0.564,52.1,57.1,11.6,13.4,0.519,15,32.8,0.347
116,Hawaii,31,20,11,0.645,3.43,-1.68,,9,7,,14,5,,6,4,,2479,2270,,69.3,114,0.431,0.289,0.562,53.3,50.5,8.7,9.4,0.522,14.2,37.6,0.312
117,High Point,31,16,15,0.516,-8.23,-5.23,,12,4,,10,3,,6,11,,2203,2253,,65.5,108,0.329,0.286,0.561,49.3,56.8,9,10,0.527,16,30.6,0.244
118,Hofstra,33,10,23,0.303,-6.56,-1.89,,5,11,,7,8,,1,13,,2260,2414,,65.3,104.4,0.451,0.383,0.521,51.9,47.3,7.3,8.9,0.484,15.8,35.5,0.297
119,Holy Cross,34,20,14,0.588,-1.58,-3.28,,12,6,,8,5,,10,7,,2277,2219,,63.9,104.1,0.394,0.343,0.534,51,50.2,9.5,10.8,0.49,15.7,30.5,0.289
120,Houston Baptist,31,6,25,0.194,-17.39,-5.39,,2,16,,5,8,,1,15,,2091,2373,,70.2,95.3,0.389,0.263,0.509,49.1,52.2,7.2,5.2,0.471,19.1,30.9,0.265
121,Houston,33,17,16,0.515,2.68,4.62,,8,10,,12,4,,3,9,,2345,2409,,67.1,105.5,0.382,0.315,0.541,49.2,58.3,8.1,13.6,0.512,16.3,31.6,0.255
122,Howard,33,8,25,0.242,-16.77,-5.22,,5,11,,4,6,,2,17,,2020,2344,,67.1,90.2,0.494,0.307,0.484,47.6,40.8,9.2,12.3,0.43,20.6,32.6,0.336
123,Idaho State,29,11,18,0.379,-6.42,-4.72,,8,12,,9,4,,2,13,,2054,2036,,64.5,108.4,0.453,0.293,0.546,52.3,49.3,11.1,8.7,0.502,16.1,35.7,0.323
124,Idaho,34,16,18,0.471,-6.42,-3.72,,7,9,,7,6,,5,9,,2461,2536,,66.9,107,0.451,0.326,0.543,50.3,46.1,6.3,4.4,0.505,14.6,31.2,0.31
125,Illinois-Chicago,31,6,25,0.194,-7.17,0.63,,1,15,,2,12,,2,11,,2071,2248,,66.5,100.4,0.389,0.31,0.515,50.4,48.5,8.3,5,0.472,16.2,30.8,0.278
126,Illinois State,34,18,16,0.529,1.08,1.77,,9,9,,14,3,,3,11,,2323,2329,,67.7,99.8,0.41,0.414,0.515,48.1,53.3,11.3,13.6,0.471,15.7,27.5,0.289
127,Illinois,35,20,15,0.571,10.33,8.28,,7,11,,10,6,,6,7,,2248,2176,,62.8,102,0.312,0.341,0.504,50.4,44,9.8,10.7,0.465,14,31.2,0.229
128,Incarnate Word,27,21,6,0.778,-8.47,-10.74,,9,5,,14,1,,7,5,,2216,1935,,73.4,111.4,0.435,0.33,0.581,52.9,55.3,8.9,9.8,0.552,16.5,32.2,0.298
129,Indiana State,34,23,11,0.676,3.29,1.19,,12,6,,11,2,,8,7,,2416,2328,,66.5,106.9,0.435,0.348,0.553,50.4,54.1,8.8,9.7,0.511,14.9,27.4,0.315
130,Indiana,32,17,15,0.531,11.32,6.64,,7,11,,14,4,,2,8,,2312,2162,,68.7,104.8,0.453,0.294,0.546,55.4,47.2,8.6,11.2,0.499,18.6,37.2,0.331
131,Iona,33,22,11,0.667,5.96,-0.1,,17,3,,11,2,,9,8,,2760,2560,,71,117.2,0.38,0.439,0.601,46.5,60.8,9.3,8.3,0.574,13.2,26.1,0.272
132,Iowa State NCAA,36,28,8,0.778,18.52,9.88,,11,7,,15,1,,4,6,,2989,2678,,71.7,113.9,0.364,0.375,0.569,51.1,62.4,8.2,7,0.542,12.6,28.8,0.252
133,Iowa NCAA,33,20,13,0.606,18.58,7.43,,9,9,,13,4,,4,6,,2689,2321,,69.9,115,0.453,0.275,0.558,54.7,57.9,10,13.5,0.511,13.3,37.7,0.333
134,Purdue-Fort Wayne,36,25,11,0.694,-0.2,-3.87,,10,4,,13,2,,8,8,,2774,2555,,68.2,115.8,0.411,0.367,0.586,52.8,53.7,10.2,6.8,0.565,15.7,33.8,0.272
135,IUPUI,32,6,26,0.188,-14.33,-1.36,,1,13,,5,10,,1,13,,2126,2383,,66.9,99.1,0.319,0.252,0.517,46.7,42.6,7.5,7.5,0.478,14.7,24.3,0.237
