"","X","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"356",5,"Syracuse","BE",0.953261,5,113.047,17,86.9735,6,65.3648,203,5.1431489942709,13,0.4632,0.4632,35,0.7099,0.7099,4,2013
"357",6,"Michigan","B10",0.952155,6,121.492,1,93.6707,49,64.7924,230,6.2454395167765,16,0.4862,0.4862,38,0.7266,0.7266,4,2013
"358",7,"Kansas","B12",0.951384,7,111.576,29,86.1506,5,67.6933,96,7.4931782835079,25,0.6171,0.6171,30,0.6808,0.6808,1,2013
"359",8,"Duke","ACC",0.950737,8,118.393,4,91.5247,31,67.8076,90,7.5472544963989,29,0.679,0.679,33,0.7356,0.7356,2,2013
"360",9,"Ohio St.","B10",0.940578,9,113.625,14,89.3665,14,65.2521,208,7.2234695203357,16,0.4436,0.4436,36,0.7136,0.7136,2,2013
"361",10,"Wisconsin","B10",0.940553,10,107.157,72,84.2825,1,61.9359,315,4.6477364014274,23,0.5015,0.5015,38,0.7185,0.7185,5,2013
"362",11,"Michigan St.","B10",0.939247,11,111.389,30,87.7876,8,64.4052,247,6.7455096902272,20,0.5303,0.5303,39,0.7437,0.7437,3,2013
"363",12,"Georgetown","BE",0.938128,12,107.644,64,84.9796,3,62.4828,301,6.5614716523941,16,0.4503,0.4503,32,0.6877,0.6877,2,2013
"364",13,"Arizona","P12",0.922884,13,114.442,11,92.2247,35,66.8157,136,4.5577812122941,21,0.5678,0.5678,28,0.7075,0.7075,6,2013
"365",14,"Pittsburgh","BE",0.921657,14,112.846,20,91.0735,29,60.2937,341,3.1335647486153,10,0.3532,0.3532,29,0.6315,0.6315,8,2013
"366",15,"Miami FL","ACC",0.920655,15,112.407,23,90.828,25,63.0394,292,6.2861354741093,23,0.6365,0.6365,29,0.7151,0.7151,2,2013
"367",16,"VCU","A10",0.919496,16,113.766,13,92.0521,34,68.1406,78,2.5573557544245,19,0.5301,0.5301,25,0.6444,0.6444,5,2013
"368",17,"Saint Louis","A10",0.918147,17,107.955,60,87.4879,7,64.6628,236,3.7666347564078,15,0.4691,0.4691,23,0.6224,0.6224,4,2013
"369",18,"Creighton","MVC",0.911704,18,116.417,7,95.0278,69,65.2263,212,3.4852371183217,23,0.5845,0.5845,25,0.6489,0.6489,7,2013
"370",19,"Minnesota","B10",0.905034,19,112.578,22,92.5369,38,64.133,261,2.1287872733047,20,0.5853,0.5853,37,0.7451,0.7451,11,2013
"371",20,"Wichita St.","MVC",0.904514,20,110.607,34,90.9647,26,65.0383,219,2.1924675736864,21,0.5486,0.5486,28,0.6583,0.6583,9,2013
"372",21,"Marquette","BE",0.902016,21,112.985,18,93.1511,47,64.5908,240,4.4862762026133,21,0.5198,0.5198,34,0.7147,0.7147,3,2013
"373",22,"Oklahoma St.","B12",0.898321,22,107.108,73,88.6228,11,67.3199,113,3.1552131485048,16,0.4977,0.4977,28,0.6487,0.6487,5,2013
"375",24,"Saint Mary's","WCC",0.890975,24,113.942,12,94.9187,67,64.7987,229,2.5248415362598,15,0.5333,0.5333,21,0.586,0.586,11,2013
"376",25,"North Carolina","ACC",0.890162,25,111.614,28,93.0461,43,71.3647,8,2.5120234503473,19,0.5054,0.5054,31,0.6931,0.6931,8,2013
"377",26,"Kansas St.","B12",0.889585,26,113.352,15,94.5435,61,63.0092,294,5.3703664984269,23,0.4692,0.4692,31,0.6428,0.6428,4,2013
"378",27,"Iowa St.","B12",0.882839,27,117.192,5,98.3173,130,69.5846,36,0.70946360604496,18,0.4789,0.4789,30,0.6476,0.6476,10,2013
"379",28,"Missouri","SEC",0.881507,28,113.345,16,95.1953,72,67.6578,98,1.1754893402438,23,0.5047,0.5047,27,0.6309,0.6309,9,2013
"381",30,"Colorado St.","MWC",0.875901,30,116.569,6,98.352,132,64.7868,231,1.8762152005026,17,0.5266,0.5266,27,0.6623,0.6623,8,2013
"382",31,"San Diego St.","MWC",0.875232,31,105.966,88,89.4539,15,66.8232,134,0.43926898777251,22,0.5584,0.5584,27,0.6735,0.6735,7,2013
"383",32,"Illinois","B10",0.874937,32,109.786,38,92.7004,42,66.0797,177,2.4279668979645,19,0.5312,0.5312,38,0.7348,0.7348,7,2013
"384",33,"UNLV","MWC",0.874928,33,104.669,111,88.3806,10,69.2942,43,1.7579041383501,18,0.5281,0.5281,25,0.6536,0.6536,5,2013
"385",34,"Notre Dame","BE",0.874792,34,112.947,19,95.3807,76,61.6689,320,3.8514229420419,12,0.4518,0.4518,31,0.6786,0.6786,7,2013
"386",35,"Cincinnati","BE",0.873019,35,104.461,113,88.3376,9,65.4876,195,1.708161095644,15,0.457,0.457,31,0.6833,0.6833,10,2013
"387",36,"Oregon","P12",0.872774,36,104.8,107,88.6415,12,69.1837,48,2.8767054052802,13,0.4035,0.4035,27,0.6581,0.6581,12,2013
"389",38,"Memphis","CUSA",0.86724,38,106.145,84,90.1616,18,69.3001,42,4.469678696397,22,0.5487,0.5487,21,0.5724,0.5724,6,2013
"390",39,"North Carolina St.","ACC",0.865014,39,115.229,10,98.0419,124,68.0936,80,2.1600823203539,20,0.5456,0.5456,28,0.6745,0.6745,8,2013
"391",40,"New Mexico","MWC",0.864064,40,106.953,74,91.0645,28,65.4379,200,6.8765535656412,22,0.638,0.638,26,0.6917,0.6917,3,2013
"392",41,"Butler","A10",0.862443,41,109.153,44,93.0485,45,64.6574,237,4.7318754381015,28,0.5885,0.5885,31,0.6846,0.6846,6,2013
"393",42,"La Salle","A10",0.851628,42,111.977,25,96.192,88,66.0285,181,0.34774635443241,17,0.5085,0.5085,26,0.6481,0.6481,13,2013
"394",43,"Colorado","P12",0.851277,43,104.937,104,90.1657,19,65.5438,194,1.400464598331,22,0.5832,0.5832,30,0.7211,0.7211,10,2013
"395",44,"Villanova","BE",0.850688,44,105.335,97,90.5445,23,67.7379,94,0.31859548627171,18,0.5526,0.5526,34,0.7228,0.7228,9,2013
"396",45,"UCLA","P12",0.847549,45,110.017,36,94.771,66,69.6293,34,3.335294344827,17,0.5525,0.5525,28,0.7088,0.7088,6,2013
"399",48,"Middle Tennessee","SB",0.839631,48,105.087,101,90.9981,27,64.8699,225,0.65862979918332,24,0.5961,0.5961,14,0.4426,0.4426,11,2013
"400",49,"Oklahoma","B12",0.8391,49,110.315,35,95.5578,77,66.7279,139,0.30403159733158,19,0.5777,0.5777,29,0.6754,0.6754,10,2013
"401",50,"Mississippi","SEC",0.834039,50,110.014,37,95.6042,78,70.8552,16,1.5523467019797,10,0.3779,0.3779,23,0.5885,0.5885,12,2013
"403",52,"Boise St.","MWC",0.833191,52,111.964,26,97.3503,111,66.2338,163,-0.18266969803807,20,0.5006,0.5006,27,0.6479,0.6479,13,2013
"406",55,"Temple","A10",0.821986,55,110.693,32,96.9049,106,66.8206,135,1.4564383085034,24,0.5444,0.5444,27,0.6417,0.6417,9,2013
"407",56,"California","P12",0.821065,56,105.431,94,92.3487,36,66.5154,147,0.48874801829955,22,0.5791,0.5791,30,0.7144,0.7144,12,2013
"411",60,"Belmont","OVC",0.806444,60,108.884,51,96.1767,87,67.3642,110,0.10694166148374,26,0.6267,0.6267,17,0.4861,0.4861,11,2013
"413",62,"Davidson","SC",0.795908,62,110.614,33,98.2688,128,65.248,209,-1.4366824754121,28,0.6266,0.6266,14,0.4088,0.4088,14,2013
"416",65,"Bucknell","Pat",0.793597,65,104.684,110,93.1148,46,63.4071,277,1.0322958996197,20,0.5689,0.5689,14,0.4738,0.4738,11,2013
"428",77,"Valparaiso","Horz",0.751357,77,107.802,63,97.9184,117,65.627,191,-0.81458578826449,17,0.4502,0.4502,16,0.4801,0.4801,14,2013
"434",83,"Akron","MAC",0.740246,83,103.42,126,94.4182,58,66.4638,150,0.32496420858469,19,0.5353,0.5353,16,0.5139,0.5139,12,2013
"446",95,"New Mexico St.","WAC",0.699228,95,102.544,140,95.2909,74,65.0943,216,-3.0902439455538,21,0.6022,0.6022,16,0.5147,0.5147,13,2013
"447",96,"Iona","MAAC",0.695552,96,112.778,21,104.96,257,71.3192,9,-5.9223877486073,22,0.6181,0.6181,17,0.5383,0.5383,15,2013
"448",97,"Florida Gulf Coast","ASun",0.695229,97,103.412,128,96.2559,91,69.1225,51,-4.0477497531504,29,0.5876,0.5876,18,0.4532,0.4532,15,2013
"460",109,"South Dakota St.","Sum",0.657253,109,109.704,39,103.665,233,63.9623,266,-3.2486763630226,24,0.5444,0.5444,16,0.43,0.43,13,2013
"468",117,"Harvard","Ivy",0.6362,117,104.919,105,99.9415,155,64.7371,233,-2.6371270739351,28,0.6136,0.6136,20,0.5257,0.5257,14,2013
"485",134,"Pacific","BW",0.599129,134,104.703,109,101.108,173,63.3579,280,-5.1400233049453,32,0.7102,0.7102,17,0.5118,0.5118,15,2013
"493",142,"Northwestern St.","Slnd",0.572958,142,104.767,108,102.123,196,73.0079,1,-3.1693411254524,28,0.6697,0.6697,15,0.4257,0.4257,14,2013
"494",143,"Albany","AE",0.572175,143,101.192,167,98.6656,137,63.2115,282,-4.5452434775305,13,0.3755,0.3755,13,0.4102,0.4102,15,2013
"517",166,"Montana","BSky",0.492871,166,101.579,153,101.832,186,63.9091,269,-1.444431939554,29,0.6778,0.6778,13,0.3939,0.3939,13,2013
"519",168,"Western Kentucky","SB",0.489457,168,100.079,186,100.446,165,65.9884,182,-8.4011733833823,29,0.5688,0.5688,16,0.4469,0.4469,16,2013
"528",177,"Southern","SWAC",0.474974,177,95.8938,261,96.7328,101,64.993,222,-5.6618213233164,21,0.5474,0.5474,10,0.2976,0.2976,16,2013
"530",179,"James Madison","CAA",0.473628,179,98.5161,212,99.4248,148,64.185,256,-8.885805810552,12,0.4287,0.4287,12,0.4459,0.4459,16,2013
"547",196,"LIU Brooklyn","NEC",0.419507,196,108.099,59,111.196,329,69.2919,45,-8.6490779069861,14,0.4233,0.4233,9,0.3721,0.3721,16,2013
"576",225,"North Carolina A&T","MEAC",0.345928,225,90.5772,319,95.7358,79,66.8613,133,-11.481105938796,17,0.4548,0.4548,11,0.3484,0.3484,16,2013
"614",263,"Liberty","BSth",0.259125,263,100.099,184,109.674,315,65.7294,190,-15.562034368864,19,0.4945,0.4945,10,0.3605,0.3605,16,2013
"699",1,"Kentucky","SEC",0.975218,1,122.356,2,88.906,9,66.3296,161,11.283203865622,21,0.5312,0.5312,31,0.6907,0.6907,1,2012
"700",2,"Ohio St.","B10",0.969384,2,116.866,6,86.5379,2,68.1404,76,7.9088819730054,17,0.4856,0.4856,35,0.7153,0.7153,2,2012
"701",3,"Michigan St.","B10",0.955429,3,113.228,19,86.7366,3,65.7043,192,8.7462177841403,20,0.5203,0.5203,36,0.7173,0.7173,1,2012
"702",4,"Kansas","B12",0.95264,4,113.024,22,87.0607,4,67.409,108,8.3240352951221,28,0.6149,0.6149,35,0.729,0.729,2,2012
"703",5,"North Carolina","ACC",0.951197,5,115.295,13,89.0539,11,72.5574,9,8.4075066708627,23,0.553,0.553,30,0.6781,0.6781,1,2012
"704",6,"Syracuse","BE",0.941736,6,116.506,7,91.4656,20,65.6832,194,10.88237280387,16,0.5144,0.5144,30,0.7031,0.7031,1,2012
"705",7,"Wisconsin","B10",0.940578,7,113.063,21,88.924,10,58.5623,345,4.9520329203737,17,0.4711,0.4711,33,0.687,0.687,4,2012
"706",8,"Missouri","B12",0.938443,8,125.117,1,98.7266,125,66.5447,147,8.8380951097236,14,0.4376,0.4376,26,0.6342,0.6342,2,2012
"707",9,"Wichita St.","MVC",0.93031,9,115.511,10,92.2058,24,66.7085,135,4.3942438375123,22,0.6157,0.6157,20,0.6163,0.6163,5,2012
"708",10,"Florida","SEC",0.929625,10,120.649,3,96.3954,82,65.4962,204,3.0537900508591,20,0.513,0.513,31,0.6703,0.6703,7,2012
"709",11,"Indiana","B10",0.923946,11,120.079,4,96.6408,85,67.6382,99,5.886551359656,17,0.4568,0.4568,33,0.6863,0.6863,4,2012
"710",12,"Vanderbilt","SEC",0.921765,12,115.176,14,92.9418,30,65.98,182,4.0428398109399,23,0.6101,0.6101,32,0.7073,0.7073,5,2012
"711",13,"Georgetown","BE",0.921215,13,110.469,37,89.2024,12,63.1095,297,4.7057032962444,24,0.539,0.539,31,0.7063,0.7063,3,2012
"712",14,"Memphis","CUSA",0.919939,14,112.498,25,90.9789,17,68.2905,70,2.9845443533236,29,0.667,0.667,23,0.6405,0.6405,8,2012
"713",15,"Saint Louis","A10",0.919932,15,110.562,35,89.4139,13,62.2998,319,2.7970650364833,15,0.4795,0.4795,24,0.6248,0.6248,9,2012
"714",16,"Louisville","BE",0.916377,16,104.563,113,84.9115,1,66.9302,125,5.6024111841073,20,0.5489,0.5489,34,0.7287,0.7287,4,2012
"715",17,"Baylor","B12",0.912672,17,115.341,11,94.0509,44,66.6462,140,7.0428410689287,18,0.4857,0.4857,33,0.6924,0.6924,3,2012
"716",18,"Duke","ACC",0.905106,18,115.974,9,95.3217,61,68.1871,75,8.0476973039791,31,0.6874,0.6874,31,0.7133,0.7133,2,2012
"717",19,"Marquette","BE",0.904281,19,110.131,41,90.5946,15,71.0253,18,6.1649064256858,19,0.5245,0.5245,31,0.7016,0.7016,3,2012
"718",20,"New Mexico","MWC",0.903028,20,109.511,48,90.1971,14,66.5154,149,2.8620677668008,12,0.448,0.448,19,0.5811,0.5811,5,2012
"719",21,"Florida St.","ACC",0.897833,21,107.05,72,88.6158,8,67.5268,103,4.3327559125293,22,0.5686,0.5686,30,0.6941,0.6941,3,2012
"720",22,"Michigan","B10",0.892528,22,113.897,17,94.7484,51,61.5955,326,6.3603038184673,24,0.5399,0.5399,36,0.7235,0.7235,4,2012
"721",23,"Cincinnati","BE",0.890109,23,109.587,47,91.3613,19,64.2616,265,3.0844148546634,11,0.3792,0.3792,30,0.659,0.659,6,2012
"722",24,"Gonzaga","WCC",0.886241,24,112.105,27,93.7775,41,65.8447,187,2.0706316432542,18,0.5718,0.5718,19,0.564,0.564,7,2012
"723",25,"Purdue","B10",0.878844,25,116.446,8,98.0149,106,65.325,215,1.9200461232901,16,0.4917,0.4917,33,0.6907,0.6907,10,2012
"724",26,"Iowa St.","B12",0.875187,26,112.717,24,95.1568,58,67.1224,120,1.9587287169897,13,0.4603,0.4603,29,0.659,0.659,8,2012
"725",27,"Alabama","SEC",0.871999,27,104.287,118,88.2613,6,62.8555,308,1.5477388354371,24,0.6275,0.6275,28,0.6946,0.6946,9,2012
"726",28,"Kansas St.","B12",0.871014,28,108.162,61,91.6109,21,67.3845,109,2.1712414741348,14,0.4666,0.4666,30,0.6667,0.6667,8,2012
"727",29,"Virginia","ACC",0.870239,29,103.304,131,87.5484,5,60.5409,337,2.0274116219788,14,0.4484,0.4484,26,0.6208,0.6208,10,2012
"728",30,"Temple","A10",0.863976,30,112.863,23,96.1024,69,67.1286,118,4.2050135134893,24,0.6599,0.6599,26,0.6845,0.6845,5,2012
"729",31,"UNLV","MWC",0.863929,31,107.882,63,91.8648,23,70.0109,29,2.7699348959853,23,0.5251,0.5251,24,0.6089,0.6089,6,2012
"731",33,"California","P12",0.8571,33,109.038,50,93.3099,32,66.7663,134,1.8168921787609,18,0.4996,0.4996,23,0.6077,0.6077,12,2012
"732",34,"Belmont","ASun",0.852585,34,115.309,12,98.9884,134,67.9164,86,0.79010852952339,26,0.5707,0.5707,17,0.4971,0.4971,14,2012
"733",35,"North Carolina St.","ACC",0.852378,35,111.441,29,95.6815,66,67.9751,84,0.50310478745227,21,0.5556,0.5556,29,0.653,0.653,11,2012
"734",36,"Connecticut","BE",0.845694,36,109.819,45,94.7174,50,64.101,268,0.52204391593427,16,0.5475,0.5475,30,0.7092,0.7092,9,2012
"735",37,"Creighton","MVC",0.84149,37,118.155,5,102.19,194,67.1229,119,4.7348287882847,18,0.5278,0.5278,22,0.6015,0.6015,8,2012
"736",38,"VCU","CAA",0.840949,38,106.046,86,91.7492,22,65.9881,181,2.2042609938957,17,0.568,0.568,18,0.5384,0.5384,12,2012
"737",39,"South Florida","BE",0.838001,39,102.167,148,88.5619,7,59.5474,343,0.065353877057757,22,0.5552,0.5552,30,0.7045,0.7045,12,2012
"738",40,"St. Bonaventure","A10",0.833562,40,110.88,34,96.385,81,64.364,260,-1.0610046314792,18,0.5073,0.5073,22,0.6065,0.6065,14,2012
