"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"300","Binghamton","AE",0.202995,300,96.057,315,108.188,259,67.3737,272,-15.962433782892,9,0.2846,0.2846,9,0.3378,0.3378,NA,2018
"301","SIU Edwardsville","OVC",0.202886,301,98.8418,269,111.331,308,70.5082,110,-15.31403278263,20,0.4671,0.4671,14,0.436,0.436,NA,2018
"302","Dartmouth","Ivy",0.196847,302,96.9214,301,109.527,279,67.8505,247,-15.422414146182,13,0.395,0.395,11,0.4218,0.4218,NA,2018
"303","East Carolina","Amer",0.196754,303,96.2061,312,108.724,268,70.1376,126,-13.481617757758,4,0.2165,0.2165,16,0.4728,0.4728,NA,2018
"304","Youngstown St.","Horz",0.193131,304,101.124,232,114.512,332,72.354,45,-17.923953887921,20,0.5133,0.5133,13,0.4375,0.4375,NA,2018
"305","Central Connecticut","NEC",0.192564,305,96.9873,299,109.862,284,65.8534,328,-13.780695994801,14,0.41,0.41,9,0.3313,0.3313,NA,2018
"306","Sacred Heart","NEC",0.190782,306,95.6058,318,108.406,265,69.5987,163,-16.916647982194,15,0.4019,0.4019,9,0.3226,0.3226,NA,2018
"307","Chattanooga","SC",0.189965,307,98.293,281,111.504,309,66.6699,310,-17.531300946096,11,0.3862,0.3862,11,0.409,0.409,NA,2018
"308","Marist","MAAC",0.189109,308,98.5436,274,111.842,311,70.4512,112,-20.153524320662,16,0.4488,0.4488,11,0.4076,0.4076,NA,2018
"309","St. Francis NY","NEC",0.185129,309,97.5988,291,111.022,304,70.2982,116,-14.573616577569,11,0.3668,0.3668,7,0.3082,0.3082,NA,2018
"310","The Citadel","SC",0.184879,310,100.846,238,114.732,334,78.9034,2,-14.925349864695,18,0.3804,0.3804,14,0.4065,0.4065,NA,2018
"311","Kennesaw St.","ASun",0.184494,311,98.3156,279,111.879,312,69.5479,167,-14.514585211768,20,0.4734,0.4734,13,0.3912,0.3912,NA,2018
"312","Stetson","ASun",0.184107,312,97.7926,287,111.309,307,71.0041,87,-16.053945016955,9,0.3152,0.3152,8,0.325,0.325,NA,2018
"313","Western Carolina","SC",0.183841,313,94.9566,323,108.097,254,70.8274,95,-11.732919366064,26,0.5357,0.5357,17,0.4751,0.4751,NA,2018
"314","Grambling St.","SWAC",0.178892,314,93.1915,337,106.396,214,72.9641,29,-9.9939425439597,18,0.5115,0.5115,9,0.2933,0.2933,NA,2018
"315","Norfolk St.","MEAC",0.173169,315,94.5648,325,108.335,264,69.9947,140,-15.010832373019,16,0.4113,0.4113,9,0.2653,0.2653,NA,2018
"316","Charlotte","CUSA",0.172721,316,98.653,270,113.049,322,72.415,44,-16.860013004965,11,0.3975,0.3975,15,0.4975,0.4975,NA,2018
"317","Savannah St.","MEAC",0.170915,317,99.6607,254,114.33,329,83.4074,1,-9.6405266277803,38,0.6355,0.6355,19,0.3735,0.3735,NA,2018
"318","Detroit","Horz",0.169595,318,101.626,223,116.68,341,73.7812,20,-18.034177776864,19,0.5111,0.5111,13,0.44,0.44,NA,2018
"319","Loyola MD","Pat",0.167008,319,95.6716,317,110.02,287,69.7267,157,-17.36031352203,14,0.4109,0.4109,10,0.3724,0.3724,NA,2018
"320","American","Pat",0.164904,320,96.4793,307,111.095,305,67.6231,257,-19.03886970657,21,0.4339,0.4339,12,0.3718,0.3718,NA,2018
"321","Texas A&M Corpus Chris","Slnd",0.163721,321,93.6525,333,107.921,247,69.042,190,-13.990314839174,17,0.3985,0.3985,9,0.328,0.328,NA,2018
"322","Jacksonville","ASun",0.163555,322,93.5954,334,107.867,245,69.6771,159,-13.045266145415,14,0.3402,0.3402,11,0.3335,0.3335,NA,2018
"323","North Carolina A&T","MEAC",0.15847,323,96.7863,302,111.91,313,70.0857,133,-10.291797910744,16,0.3953,0.3953,8,0.2537,0.2537,NA,2018
"324","North Carolina Central","MEAC",0.152239,324,94.992,322,110.29,293,66.3778,317,-12.015087103361,11,0.3585,0.3585,6,0.226,0.226,16,2018
"325","Cal St. Northridge","BW",0.149849,325,97.324,297,113.18,323,66.9672,291,-19.312788167985,11,0.3633,0.3633,10,0.3978,0.3978,NA,2018
"326","Houston Baptist","Slnd",0.149076,326,99.1812,260,115.401,338,74.6469,13,-18.858153578197,26,0.512,0.512,15,0.3895,0.3895,NA,2018
"327","Morgan St.","MEAC",0.146687,327,95.382,321,111.164,306,69.9586,143,-15.819615286619,14,0.4027,0.4027,7,0.2407,0.2407,NA,2018
"328","Southern","SWAC",0.141523,328,93.5318,335,109.405,276,69.121,186,-13.260147995341,24,0.5015,0.5015,11,0.2796,0.2796,NA,2018
"329","USC Upstate","ASun",0.141281,329,105.145,148,123.011,351,70.1272,127,-19.498372318005,16,0.4043,0.4043,12,0.3758,0.3758,NA,2018
"330","Maine","AE",0.132849,330,91.0265,342,107.156,232,72.2251,47,-20.248294144357,15,0.3997,0.3997,13,0.4088,0.4088,NA,2018
"331","Cal Poly","BW",0.129562,331,96.2509,311,113.59,324,67.4159,270,-16.752746883221,12,0.4404,0.4404,11,0.4404,0.4404,NA,2018
"332","Northern Arizona","BSky",0.129502,332,92.2458,341,108.869,269,70.2497,119,-20.211644608245,19,0.4743,0.4743,15,0.4752,0.4752,NA,2018
"333","Arkansas Pine Bluff","SWAC",0.120751,333,92.7498,340,110.227,290,68.8114,204,-16.342692348121,20,0.5451,0.5451,9,0.3052,0.3052,NA,2018
"334","Presbyterian","BSth",0.114409,334,96.476,308,115.267,337,64.5869,342,-16.217319050212,16,0.3402,0.3402,11,0.3492,0.3492,NA,2018
"335","VMI","SC",0.114016,335,89.2584,347,106.679,220,70.1227,128,-15.780311893877,14,0.3672,0.3672,12,0.3991,0.3991,NA,2018
"336","Incarnate Word","Slnd",0.104747,336,94.4877,327,113.868,328,70.645,103,-16.475886884556,22,0.3692,0.3692,12,0.3348,0.3348,NA,2018
"337","Alcorn St.","SWAC",0.0991576,337,94.3985,328,114.366,330,69.2254,180,-16.388512799231,22,0.4812,0.4812,10,0.2866,0.2866,NA,2018
"338","Jackson St.","SWAC",0.0976971,338,89.2146,348,108.241,260,64.9086,340,-16.045547068129,17,0.469,0.469,8,0.2777,0.2777,NA,2018
"339","Howard","MEAC",0.0976414,339,98.4413,277,119.441,349,71.3978,73,-18.575042756677,18,0.4789,0.4789,9,0.2962,0.2962,NA,2018
"340","Bryant","NEC",0.0936212,340,98.3427,278,119.805,350,71.3269,75,-23.041081312879,20,0.515,0.515,11,0.3764,0.3764,NA,2018
"341","Longwood","BSth",0.0911287,341,89.3699,346,109.156,272,70.3424,115,-21.243886848172,13,0.3893,0.3893,10,0.3728,0.3728,NA,2018
"342","Alabama St.","SWAC",0.0858068,342,94.34,329,115.89,340,70.2155,121,-18.230074866617,25,0.5787,0.5787,11,0.3207,0.3207,NA,2018
"343","South Carolina St.","MEAC",0.0778655,343,96.1404,313,119.193,346,71.9086,56,-17.332661163791,19,0.4834,0.4834,10,0.3058,0.3058,NA,2018
"344","Chicago St.","WAC",0.0756247,344,94.8968,324,117.975,345,73.3686,22,-20.263629811133,24,0.5453,0.5453,20,0.5288,0.5288,NA,2018
"345","Northwestern St.","Slnd",0.0743347,345,88.2393,349,109.876,285,70.4717,111,-20.140781273854,19,0.408,0.408,12,0.3671,0.3671,NA,2018
"346","Florida A&M","MEAC",0.0723434,346,94.2473,331,117.656,343,68.4289,223,-19.074405108363,24,0.5677,0.5677,13,0.3427,0.3427,NA,2018
"347","Coppin St.","MEAC",0.0585072,347,86.1596,351,109.705,282,68.6685,212,-20.923659645977,28,0.5889,0.5889,14,0.3581,0.3581,NA,2018
"348","Mississippi Valley St.","SWAC",0.0564349,348,89.6169,345,114.487,331,69.8911,149,-22.481439604819,27,0.6439,0.6439,12,0.3494,0.3494,NA,2018
"349","Maryland Eastern Shore","MEAC",0.044973,349,90.0665,344,117.479,342,66.4383,315,-19.261679741339,26,0.5469,0.5469,13,0.334,0.334,NA,2018
"350","Alabama A&M","SWAC",0.0419243,350,87.5974,350,114.99,336,67.5141,266,-22.970702799876,25,0.5993,0.5993,12,0.339,0.339,NA,2018
"351","Delaware St.","MEAC",0.0390632,351,90.2544,343,119.239,347,66.2245,319,-24.068778292559,15,0.4524,0.4524,8,0.288,0.288,NA,2018
