RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
38,N.C. State,ACC,33,20,124.1,104.7,0.8763,55.3,53,13.1,18.2,28.5,30.3,35.2,36.5,53.1,52.7,38.8,35.6,69.1,0.34,11
39,Oklahoma,SEC,34,19,125.2,105.9,0.8729,55.1,51.2,14.4,15.3,33.6,33,35.9,34,55,51.1,36.8,34.2,66.1,-0.47,N/A
40,Texas A&M,SEC,32,21,119.9,101.4,0.8726,54.2,50.8,14.6,18.3,32.3,32.5,37.4,35.6,54.1,53.1,36.2,31.7,71,1.6,10
41,Auburn,SEC,33,17,124.2,105.8,0.8631,52.3,53.6,14.7,16.3,37.6,32.1,44.7,35.4,53.4,52.8,33.8,36.5,67.4,0.19,N/A
42,SMU,ACC,33,20,123,105,0.8611,55.7,51.4,15.9,17.1,35.4,31.6,30.6,32,55.5,52,37.4,33.9,68.6,-0.02,11
43,Saint Louis,A10,33,28,119.5,102.2,0.8579,59.7,44.8,17.4,16.1,31.1,27,34.7,37.2,58.9,44.6,40.5,30,71,1.9,9
44,San Diego St.,MWC,33,22,112.2,96.1,0.8556,52.7,48.2,17.2,20.3,29.5,31.1,39,38.5,53.2,46.2,34.5,33.6,68.6,-0.09,N/A
45,Texas,SEC,32,18,124,106.4,0.8538,54.2,51.2,15.3,13.4,35.7,26.9,46.2,40.7,55.3,49.8,34.9,36,67.1,-0.21,11
46,Missouri,SEC,32,20,119.9,103,0.8515,55.3,51.4,18,16.6,35.5,31.4,42.5,35.1,56.9,48.9,35,36.5,66.4,1.2,10
47,Baylor,B12,32,16,123.4,106.6,0.8435,53.8,52.5,16.5,16.1,37.5,32.2,34.8,30.2,55.2,52.2,34.5,35.5,67.8,-2.2,N/A
48,VCU,A10,34,27,119.3,103.1,0.843,54.1,48.9,15.2,17.2,32.3,29.9,43.7,33.1,53.3,48.4,36.7,33.1,68.7,1.7,11
49,TCU,B12,33,22,114.9,99.6,0.8366,50.9,51,15.5,19.7,34.4,29.2,38.7,30.4,51.6,51.3,33.1,33.7,67.6,2.4,9
50,South Florida,Amer,33,25,116.8,101.4,0.8353,50.9,48.4,15.2,18.8,38.2,31.8,41.1,38.8,51.9,46.7,33.1,33.9,71.4,-0.25,11
51,Florida St.,ACC,33,18,119.4,104,0.8314,52.3,52.2,15.2,19,30.8,34.1,34.7,32.7,55.1,52.5,33.1,34.6,70.6,-1.8,N/A
52,Washington,B10,33,16,116.8,102.2,0.8223,51.2,50.2,15.3,14.3,34.6,28.5,30.1,31,53.4,50,31.5,33.6,67.1,-3,N/A
53,Virginia Tech,ACC,32,19,117.6,103.1,0.8195,52.2,50.8,14.9,17.2,31.9,32.6,34,28.8,51.5,54.1,35.5,30.6,67.2,-0.8,N/A
54,New Mexico,MWC,33,23,116.4,102.1,0.8193,53.6,49.6,15.3,19.1,30.3,27.6,36.2,34.9,53.3,53.6,36.1,30.3,69.8,-0.4,N/A
55,Grand Canyon,MWC,32,20,111.1,97.5,0.8169,51.7,47.4,17.6,17.3,31.3,25.3,39.5,39,54.2,47.2,31.8,31.9,68,-3.1,N/A
56,Boise St.,MWC,32,20,118.1,103.8,0.8154,52.2,52.7,16.9,14.5,33.2,23.6,42.7,32.1,52.7,53.3,34.3,34.4,65.7,-2.1,N/A
57,Minnesota,B10,32,15,116,102.1,0.8117,54.2,51.9,16.6,17.1,27.2,29.8,35.9,27.3,56,51.7,34.8,34.7,62.7,-3.9,N/A
58,UCF,B12,32,21,120,105.7,0.8117,52.8,52.4,15.7,15.8,34.4,28.5,30.8,35.2,52.1,53.2,36.2,34,69.1,2.1,10
59,Stanford,ACC,32,20,117,103.7,0.8014,51.7,51.2,15.5,18.3,32.3,30.1,35.7,40.3,50.4,51.5,35.6,33.7,67,-0.9,N/A
60,Seton Hall,BE,33,21,108.7,96.3,0.8013,47.6,47.3,16.7,21.5,35.6,31.9,35.3,42.1,48.3,46.3,30.5,32.4,65.2,-0.26,N/A
61,Arizona St.,B12,33,17,115.2,102.4,0.7962,51.1,52.4,17.1,18.5,29.8,34.9,39.5,34.3,51.7,52.3,33.4,35,69.2,-1,N/A
62,West Virginia,B12,32,18,108.5,96.6,0.7917,51.1,48.3,17.5,18.1,31,29,35.5,29.2,52.5,45.7,32.8,35,62.5,-1.9,N/A
63,Northwestern,B10,34,15,116.4,103.8,0.7904,51.7,51,13,17.5,28.1,34.7,33.9,34.8,52.9,51.6,33,33.4,65.1,-3.7,N/A
64,Mississippi,SEC,35,15,114.1,101.7,0.7892,50.4,50.5,14,16.4,28.3,32.6,33,41.2,50.8,50.8,33.2,33.4,66.1,-4.4,N/A
65,Tulsa,Amer,33,26,121,108.3,0.7818,56.5,49.9,15.2,15.5,32,29,40.9,32,54.3,49.6,39.4,33.5,67.8,-1,N/A
66,USC,B10,32,18,113.1,101.3,0.7801,50.4,49.7,17.4,16.3,32.4,32.2,44.2,33.4,51.8,52,31.7,30.9,70.7,-0.9,N/A
67,Wake Forest,ACC,33,17,117.9,105.6,0.7791,52.6,52,15.4,17.8,29.7,32.9,35.1,36.2,53.3,54.2,34.4,33,68.3,-2.9,N/A
68,California,ACC,32,21,113.8,102.2,0.7755,52.2,49.6,15,16.1,25.8,30.3,37.3,37.2,50.5,51.9,36.3,30.9,67.9,-0.6,N/A
69,Northern Iowa,MVC,35,23,109.7,98.6,0.7745,54.2,47.2,14.6,18.1,22,26.3,25.7,29.3,55.3,50,34.9,28.9,62.2,-5.3,12
70,LSU,SEC,32,15,118.8,106.7,0.7744,52.8,50.9,15.6,13.9,33.1,31.7,40.9,37.8,54.5,49.5,33.1,35.4,66.6,-4.3,N/A
71,Akron,MAC,34,29,117.2,105.4,0.7726,58.5,50.6,15.5,18.4,33.5,29.9,29.1,30.3,59.1,49,38.5,35.1,70.3,-0.2,12
72,Butler,BE,32,16,117.2,105.6,0.7688,50.9,51.9,15.9,15.1,34.6,30,42.1,24.9,51.9,53.1,32.7,33.3,68.9,-4.2,N/A
73,McNeese St.,Slnd,33,28,113.2,102.2,0.7644,51,48.9,14.3,24.6,35,35,38.3,42.1,52.9,49.1,31.6,32.5,66.1,0.7,12
74,Providence,BE,33,15,120.9,109.2,0.7633,55,51.4,16.7,13.1,31.7,30.8,36.7,32.7,55.3,50.4,36.4,35.3,71.3,-5.1,N/A
75,Oklahoma St.,B12,33,19,118.5,107.2,0.7599,52.1,52.9,15.9,16,31.3,30.7,39.4,32.5,52.8,52.6,33.8,35.5,72.2,-0.8,N/A
76,Colorado,B12,32,17,118,106.8,0.7586,53.2,52.9,14.5,15.4,29,29.8,35.8,36.3,53.3,51.6,35.3,36.8,68.6,-2.7,N/A
77,Marquette,BE,32,12,111.8,101.2,0.7585,50.5,50.6,16,19.3,29.7,34.7,32.8,32,52.7,51.5,31.7,32.7,69.2,-7.4,N/A
78,Georgetown,BE,34,16,114,103.3,0.7567,49.6,49.9,15.8,16.2,32.5,31.5,37.3,33.9,50.7,50,31.8,33.3,66.2,-4.9,N/A
79,Nevada,MWC,34,22,114.5,103.8,0.7558,49.7,51,14.9,17.4,32.1,27.2,46.6,40.3,47.5,51,36.2,34.1,66,-1.9,N/A
80,Belmont,MVC,32,26,120.1,109,0.7534,61,49.9,18.1,17.4,28.8,29.2,32.5,30.7,60.6,48.5,41,34.2,69,-0.6,N/A
81,Syracuse,ACC,32,15,115.2,104.7,0.7497,52.6,50.3,16,17.4,29.2,33.6,35.1,32.6,54.5,49.8,32.9,34.1,67.4,-4.5,N/A
82,Dayton,A10,34,23,110.1,100.1,0.7494,51.7,50.9,17.4,21.2,27,29.2,47.1,35.7,52.1,49.1,34.1,35.6,67,-1.5,N/A
83,George Washington,A10,33,18,117.4,107,0.7448,54.6,52.3,17.9,17.8,36.2,28.1,35.5,34.9,56.5,53.7,35,33.6,69.3,-7.7,N/A
84,Wichita St.,Amer,33,22,111.3,102,0.7315,49.5,47.3,15,15.9,38.3,29.3,36.1,34.6,49,47.7,33.5,30.9,66.2,-3.8,N/A
85,Creighton,BE,32,15,114.9,105.4,0.7307,53.1,51.1,16.5,14,27.5,29.7,27.5,24.6,54.3,50.2,34.5,35.4,67.4,-4,N/A
86,Miami OH,MAC,32,31,116.7,107.6,0.7177,59.2,50.8,14.5,17.5,25.3,28.1,40.2,30.9,61.5,51.6,37.5,33,69.9,2.5,11
