RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
87,Utah Valley,WAC,33,25,112.3,103.6,0.717,55.1,49,20.2,21.2,34.8,31.4,38.2,39.3,57.1,47.5,33.9,34.8,68.6,-2.7,N/A
88,Colorado St.,MWC,33,21,118.2,109.1,0.715,58,53.1,18.6,15.3,30,29,39.6,34.2,57.3,54.4,39.1,34.3,63,-3,N/A
89,Stephen F. Austin,Slnd,33,28,112.5,104,0.7112,51.7,47.9,14.1,17.6,33.9,28.6,30.4,30,50.2,49.2,36,30.4,65.7,-0.9,N/A
90,Oregon,B10,32,12,111.8,103.5,0.7076,49.5,50.9,17.6,15.7,32.3,32.3,35,32,50.5,51.5,32.1,33.4,65.9,-6.3,N/A
91,Hofstra,CAA,34,24,113.2,104.9,0.7049,51.5,45.9,16.1,15,34.9,30.5,32.5,35.4,48.6,44.2,36.8,32.3,64.7,-4.7,13
92,Yale,Ivy,30,24,118.8,110.4,0.6998,56.1,52,14,16.4,33.8,29.2,35.2,27.1,54,51.7,39.9,34.9,64.7,-1.5,N/A
93,High Point,BSth,34,30,115.7,107.5,0.6991,54.7,50.1,13,21.9,32.1,31.7,42.9,36.4,57.1,51.6,34.4,31.9,69.9,-1.4,12
94,Xavier,BE,33,15,117.3,109.3,0.6921,51.8,54.1,13.9,15.5,26.5,29.5,28.1,32.6,49.8,55.3,36.5,34.8,70.3,-5,N/A
95,Wyoming,MWC,32,18,115.1,107.4,0.6893,52,52.2,16.4,16.7,34.7,27.5,35.6,48.4,54.1,53.7,32.9,33,66.1,-5.3,N/A
96,Cal Baptist,WAC,33,25,107.5,100.3,0.6889,48.6,46.4,18.1,17.1,37.8,27.2,36.1,37.1,47.7,47.3,33.7,29.7,65.9,-2.3,13
97,Notre Dame,ACC,31,13,115,107.4,0.6879,52.3,51.8,17,14,31.2,26.7,34.1,36.2,51.4,53.6,35.6,33.2,66,-5.6,N/A
98,Saint Joseph's,A10,33,22,108.4,101.3,0.6848,49.3,47.6,16.9,15.2,31.4,30.9,30.4,26.3,51.9,47.5,30.8,31.8,68,-4,N/A
99,Mississippi St.,SEC,32,13,112.9,105.5,0.6845,51.5,50.9,16.1,12.8,29.8,30.7,30.7,32.3,53.4,51,32.4,33.9,69.5,-5.6,N/A
100,South Carolina,SEC,32,13,111.8,104.6,0.6811,50.3,51.6,14.5,14.6,27.2,32.1,36.7,34,53.2,53.7,31.1,31.8,66.3,-6.1,N/A
101,DePaul,BE,32,16,106.8,100,0.6798,49.8,49.3,17.8,18.6,30,31.1,35.3,37.8,50.5,47.3,32.5,35.4,66.5,-5.1,N/A
102,Kansas St.,B12,32,12,112.7,105.6,0.6783,53.3,52.5,17.4,17.1,29.2,33.9,26.9,35.2,52.4,53.7,36.4,33.7,72.7,-6.7,N/A
103,Pittsburgh,ACC,33,13,112.6,105.6,0.6782,51,53.4,17.3,16.2,33.9,28.1,30.4,30.9,51.7,53.7,33.4,35.2,63.7,-7.2,N/A
104,Seattle,WCC,33,20,102.6,96.4,0.6707,49.4,48.3,17,21.1,24.6,31.8,34.5,32.9,49.7,48.2,32.6,32.4,67.7,-5.4,N/A
105,Davidson,A10,33,20,110.1,103.7,0.6672,52.6,50.4,16.1,17.8,28.6,30.4,31.8,36.6,52.2,51.6,35.3,32.3,63.6,-5.8,N/A
106,Sam Houston St.,CUSA,33,22,113.9,107.2,0.6671,52.4,51,16.7,16.4,36,30,34.7,37.1,50.4,52.9,37.3,32.3,70,-5.3,N/A
107,Pacific,WCC,33,18,110.5,104.1,0.6647,52.2,50,20.1,15.1,35.3,25,30.5,36.3,51.3,48.5,35.8,34.7,64.4,-6.8,N/A
108,UC Irvine,BW,34,23,104.5,98.6,0.6595,49.7,45.4,17.9,18.5,31.1,31.5,35.8,26.8,49.2,42.7,33.9,33.3,68.2,-5.9,N/A
109,UNLV,MWC,33,17,115.5,109.2,0.6571,53.3,52.6,16.9,17.3,31,31.5,41.7,45.3,53.6,52.3,35.3,35.4,69.9,-6,N/A
110,Illinois St.,MVC,32,20,109.2,103.4,0.6514,53.6,50,16.8,16.4,28.6,25.3,31.8,33.1,54.6,49.9,34.8,33.4,66.8,-5.8,N/A
111,St. Thomas,Sum,33,24,113.9,107.9,0.6512,59.4,50.9,13.8,17.1,22.3,27.1,34.4,30.4,63.6,53.5,36.4,31.4,68.4,-5,N/A
112,Illinois Chicago,MVC,34,19,109.6,103.8,0.6509,49.7,49.9,17.6,19.6,36.5,32.1,36.5,34.3,50.7,50.6,31.7,32.7,66.3,-8.6,N/A
113,Maryland,B10,33,12,111.7,105.9,0.6496,48.1,54.4,18.6,14.9,33.8,29.1,36.4,35.8,48.6,54.4,31.7,36.3,66.3,-5.4,N/A
114,North Dakota St.,Sum,34,27,111.4,106,0.6392,53.4,51.5,15.6,18.7,33.6,25.7,30.7,29.1,53.2,52.6,35.7,33.5,66.4,-3.4,14
115,Utah,B12,32,10,114.9,109.4,0.6367,52,53.9,16.7,13.3,29.3,31.6,31.7,29.9,51.5,54.6,35.3,35.1,66.3,-8.8,N/A
116,Hawaii,BW,32,24,106.9,101.8,0.6355,52,46.4,18.9,16.9,31.4,25,42.4,36.1,55,46.6,31.6,30.7,69.6,-3.7,13
117,Rutgers,B10,33,14,110.9,105.9,0.6297,47.5,53,15.1,17.1,29.8,33.1,36.1,31.4,46.6,52.5,32.8,35.8,66.7,-5.3,N/A
118,George Mason,A10,32,23,110.8,105.9,0.6295,53.1,49.4,15.9,15.6,31.1,28.3,41.1,28.6,54.7,49.8,33.4,32.5,63.6,-3,N/A
119,UT Rio Grande Valley,Slnd,33,19,111.3,106.5,0.6233,54.8,47.8,18.5,16.3,28.2,32.1,28.9,38.9,54.5,49.2,36.8,30.4,66.4,-8.2,N/A
120,Liberty,CUSA,32,25,117.6,112.9,0.6134,59.8,53.1,13.7,17.2,19.1,32.6,31.3,26.2,60.8,50.5,39.2,38.3,63.9,-2.2,N/A
121,Duquesne,A10,33,18,110.8,106.7,0.6084,52.3,52.5,17.6,18.3,30.4,29.6,38.3,39.9,54.5,51.3,33.1,36.2,68.8,-7.5,N/A
122,UC San Diego,BW,34,23,106.2,102.2,0.6083,52.6,48.4,16.5,16.8,26.1,27,31.2,29.3,55,49.3,32.8,31.5,67.2,-5.8,N/A
123,Florida Atlantic,Amer,33,18,109.6,105.6,0.6041,52.2,49.5,17.6,15.5,31.6,28.3,33.3,36.2,53.6,48.8,33.3,33.8,69.8,-8.3,N/A
124,San Francisco,WCC,33,17,113.3,109.3,0.6012,51.2,50.8,15.8,14.1,31.3,29,40.1,29.6,50.7,50.6,34.6,34.1,65.9,-7,N/A
125,UNC Wilmington,CAA,32,26,110.6,106.8,0.5998,50.9,47.2,15,15,35.4,26.7,41.7,31.8,49.4,49.5,35.5,29.5,64.9,-2.8,N/A
126,Washington St.,WCC,32,12,114.3,110.5,0.5981,54.7,52.6,18.4,14.6,29.5,28.2,30.2,33,54.6,52.4,36.5,35.4,67.9,-11.3,N/A
127,UC Santa Barbara,BW,32,18,113.6,110,0.5938,54.7,52.6,18.7,16.8,31,25.5,36.8,42.4,53.6,53.5,37.4,33.9,64.3,-9.1,N/A
128,Montana St.,BSky,32,18,110.9,107.4,0.5932,53.6,51.7,14.7,15.7,27,28.2,30.2,29.6,53.1,51.8,36.1,34.3,65.9,-8.1,N/A
129,Southern Illinois,MVC,32,16,102.5,99.3,0.5887,49.2,49,17,18.5,30.9,27.3,31.3,31.4,52.2,51.5,27.8,30.4,69,-9.5,N/A
130,Wright St.,Horz,34,23,112.4,109,0.5864,54.4,52.1,16.3,16.5,33.2,29.2,38,33.5,54.5,52.9,36.1,33.6,67,-6.6,14
131,Fresno St.,MWC,32,13,107,103.8,0.5853,50.6,51.5,18.1,18.2,27.9,30.6,33.8,28.6,52.3,55.7,32.1,30.7,68.3,-10.3,N/A
132,Toledo,MAC,34,19,114.5,111.2,0.5848,54.5,54.3,14.7,17.8,29.5,33.7,30.5,26.6,54,56.1,37,34.4,67.9,-9,N/A
133,Memphis,Amer,32,13,107.9,104.8,0.5827,48.7,48.7,18.9,18.5,35.3,35.6,34.7,42.4,49.4,51,31.6,30.5,70,-9.6,N/A
134,Bradley,MVC,33,21,110.8,107.8,0.5768,51,52.6,13.8,19.3,27.3,28.2,36.1,37.8,49.2,51.3,35.8,36.3,67.5,-6,N/A
135,Murray St.,MVC,32,20,115.1,112.2,0.5739,53.8,52.3,16.2,16,33,31.3,39.1,32.9,55,51.5,34.8,36.3,71.8,-5.4,N/A
136,Idaho,BSky,35,21,108.8,106.2,0.5703,51.9,50.3,15,15.2,28.9,24.2,34.8,39.2,52,49.3,34.5,34.8,67.4,-8.9,15
137,UAB,Amer,32,20,108.5,106,0.5665,48.4,50,12.5,16.1,32.5,27.7,36.4,28.7,51.3,50.7,27.8,32.6,69.3,-6.2,N/A
138,Northern Colorado,BSky,32,20,112.3,109.8,0.5634,55.7,50.1,15.4,12.4,27.2,24.2,27.5,38.8,58.1,52.3,35,30.7,68.5,-7.1,N/A
139,Boston College,ACC,31,11,103.7,101.5,0.5621,47,48.9,15.4,14.9,28.3,28.6,32.4,34.6,49.1,49.6,29.4,31.9,66,-10,N/A
140,North Texas,Amer,33,19,103.1,101.2,0.5535,46,48.4,16.7,21.3,33.5,32.4,39.6,45.1,47.4,49.8,28.7,30.9,65,-7.3,N/A
141,Penn St.,B10,32,12,113.8,111.7,0.552,53,58.4,15.6,17.7,25.9,31.1,33.8,27.5,55.8,58.6,32.4,38.8,67.5,-7.2,N/A
142,Troy,SB,33,22,110.7,109,0.5437,51.9,50.1,17,16.9,34.8,31.6,36.3,32.1,53.7,52,33.2,31.3,65.1,-6.1,13
143,Temple,Amer,32,16,111.7,110.1,0.5408,50.2,50.7,13.7,15.5,29.8,30.3,40.6,35.5,50,51.5,33.6,32.8,64.9,-10.3,N/A
144,Central Arkansas,ASun,34,22,109.6,108.1,0.5401,54,54.9,15.4,19,28.8,27.4,31.2,30.1,54.7,57.3,35.5,35.2,67.9,-6.6,N/A
145,Arkansas St.,SB,32,20,109.8,108.5,0.5342,51.7,50.3,19.8,14.9,38.2,27,39.1,37,53.6,50.8,32.9,32.9,72.1,-7.3,N/A
